countryProfile,topicId,topicName,tableId,tableName,seriesCode,hub,seriesDesc,units,multiplier,baseYear,multiplierDesc,personnelTypeCode,personnelTypeDesc,activityCode,activityDesc,speciesCode,speciesDesc,ODACode,ODADesc,urbanizationCode,urbanizationDesc,ageCode,ageDesc,sexCode,sexDesc,educationLevCode,educationLevDesc,Country_profiles,FactName,Theme,Units
1,2,Population and migration,89,"Population, density and surface area",SYB089,7e77f35a3ebb49c29d9fc8c10f825f33,Population mid-year estimates,Number,6,,,,,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,x,Population (mid-year estimates),Population and migration,Millions
1,2,Population and migration,89,"Population, density and surface area",SYB087,493ee3f35221493fa582b807034fe488,Share of population by age group,Percent,0,,,,,,,,,,,,,Y_GE65,65 years old and over,,,,,x,Share of population 65 years of age an over,Population and migration,Percent
1,2,Population and migration,89,"Population, density and surface area",SYB087,493ee3f35221493fa582b807034fe488,Share of population by age group,Percent,0,,,,,,,,,,,,,Y0T14,under 15 years old,,,,,x,Share of population under 15 years of age,Population and migration,Percent
1,2,Population and migration,83,Population and rates of growth in urban areas and capital cities,SYB082,c7e749b42fda4c84b39cf8fa5d038371,Urban population as percent of total populatoin,Percent of total population,0,,,,,,,,,,,U,Urban,,,,,,,x,Share of urban population,Population and migration,Percent
1,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB012,3aa919d7703a4ecfa9d55bac8694343f,Life expectancy at birth,Number of years,0,,,,,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,x,Life expectancy at birth,Population and migration,Years
1,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB014,f6f16a88b56840249b4439bbea05dba4,Population annual rate of increase,Percent,0,,,,,,,,,,,,,,,,,,,x,Population growth,Population and migration,Percent
1,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB015,bbb7dbea77a9464c883e3605eca93d51,Total fertility rate,Number of children per women,0,,,,,,,,,,,,,,,,,,,x,Total fertility rate,Population and migration,Children per woman
1,2,Population and migration,78,International migrants and refugees,SYB073,d7f798f2a6cd46e2b6d9c09065f03de4,International migrant stock as percent of total population,Percent of total population,0,,,,,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,x,International migrant stock as percent of total population,Population and migration,Percent
1,2,Population and migration,78,International migrants and refugees,SYB077,592ed636d538491593ed9de1e2c3f47b,Total refugees and people in refugee-like situations,Number,0,,,,,,,,,,,,,,,,,,,x,Number of refugees and people in refugee-like situations,Population and migration,
1,2,Population and migration,78,International migrants and refugees,SYB072,a1bc495b927c4873b6d314a0ce3b7bd1,"Asylum seekers, including pending cases",Number,0,,,,,,,,,,,,,,,,,,,x,"Number of asylum seekers, including pending cases",Population and migration,
1,6,National accounts,19,Gross domestic product and gross domestic product per capita,SYB024,77621dfd97e94273a1405e960582854f,GDP in current prices,US dollars,6,,,,,,,,,,,,,,,,,,,x,GDP in current prices,National accounts and labour market,Millions of US dollars
1,6,National accounts,19,Gross domestic product and gross domestic product per capita,SYB025,5ec9f38def1247ebbcee2557fc0c3a9b,GDP per capita,US dollars,0,,,,,,,,,,,,,,,,,,,x,GDP per capita,National accounts and labour market,US dollars
1,8,Labour market,94,Labour force participation and unemployment,SYB092,646314aeef1b42bc9de3a49902eb5d98,Labour force participation,Percent,0,,,,,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,x,Labour force participation rate,National accounts and labour market,Percent
1,6,National accounts,18,Gross Value added by kind of economic activity,SYB022,4ea3388567b64f33b3601bac26767f96,Gross value added by industry,Percent of total gross value added,0,,,,,AGR,"Agriculture, hunting, forestry and fishing",,,,,,,,,,,,,x,"Share of  agriculture, hunting, forestry and fishing in total gross value added",National accounts and labour market,Percent
1,6,National accounts,18,Gross Value added by kind of economic activity,SYB022,4ea3388567b64f33b3601bac26767f96,Gross value added by industry,Percent of total gross value added,0,,,,,IND,Industry,,,,,,,,,,,,,x,Share of industry in total gross value added,National accounts and labour market,Percent
1,6,National accounts,18,Gross Value added by kind of economic activity,SYB022,4ea3388567b64f33b3601bac26767f96,Gross value added by industry,Percent of total gross value added,0,,,,,SER,Services,,,,,,,,,,,,,x,Share of services in total gross value added,National accounts and labour market,Percent
1,16,International tourism and transport,116,Tourist/visitor arrivals and tourism expenditure,SYB114,e5f6c8d46ef94732a08edb7f03811dee,Tourism expenditure,US dollars,6,,,,,,,,,,,,,,,,,,,x,Tourism expenditure,National accounts and labour market,Millions of US dollars
1,8,Labour market,94,Labour force participation and unemployment,SYB093,4a000e35f2fb4699a79729f50a189b20,Unemployment rate,Percent,0,,,,,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,x,Unemployment rate,National accounts and labour market,Percent
1,7,Finance,74,Balance of payments summary,SYB065,a201ac34ff6a47a6a978ca2b3b7f0dfd,Balance of Payments: Capital account,US dollars,6,,,,,,,,,,,,,,,,,,,x,Balance of Payments: Capital account,Trade and balance of payments,Millions of US dollars
1,7,Finance,74,Balance of payments summary,SYB066,12fb78721cdc4d678a74e58006b131cf,Balance of Payments: Current account,US dollars,6,,,,,,,,,,,,,,,,,,,x,Balance of Payments: Current account,Trade and balance of payments,Millions of US dollars
1,7,Finance,74,Balance of payments summary,SYB067,fab67e6783d14d1988ff7ed19bea77ef,Balance of Payments: Financial account,US dollars,6,,,,,,,,,,,,,,,,,,,x,Balance of Payments: Financial account,Trade and balance of payments,Millions of US dollars
1,15,International merchandise trade,68,"Total imports, exports and balance of trade",SYB062,af3fcb6e186d4cc1b8ff1aea91147496,Balance of trade,US dollars,6,,,,,,,,,,,,,,,,,,,x,Balance of trade,Trade and balance of payments,Millions of US dollars
1,7,Finance,75,Exchange rates,SYB068,9b697a11f8084ac682dea3f55b2b088f,Exchange rate: end of period,National currency per US dollar,0,,,,,,,,,,,,,,,,,,,x,Exchange rate (end of period),Trade and balance of payments,per US dollar
1,15,International merchandise trade,68,"Total imports, exports and balance of trade",SYB063,853d6d5eab0a4176902118b65863a2c3,Exports FOB,US dollars,6,,,,,,,,,,,,,,,,,,,x,Exports FOB,Trade and balance of payments,Millions of US dollars
1,15,International merchandise trade,68,"Total imports, exports and balance of trade",SYB064,f88839ade39842a1906c88053823bc63,Imports CIF,US dollars,6,,,,,,,,,,,,,,,,,,,x,Imports CIF,Trade and balance of payments,Millions of US dollars
1,2,Population and migration,89,"Population, density and surface area",SYB091,875ce0c9115b46e6a9fe2471e312ea03,Surface area,km2,3,,,,,,,,,,,,,,,,,,,x,Surface area,Environment,km2
1,13,Environment,64,Land,SYB050,be9f976cde964d02b38168123b478d66,Land area,Hectares,3,,,,,,,,,,,,,,,,,,,x,Land area,Environment,Hectares
1,13,Environment,64,Land,SYB045,ddf9aaf75c8049688634c59e4a47a53a,Arable land as percent of total land area,Percent,0,,,,,,,,,,,,,,,,,,,x,Arable land as percent of total land area,Environment,Percent
1,13,Environment,64,Land,SYB051,b6e78096d8024588a0cce59d729bc154,Permanent crops as percent of total land area,Percent,0,,,,,,,,,,,,,,,,,,,x,Permanent crops as percent of total land area,Environment,Percent
,20,Energy,65,"Production, trade and supply of energy",SYB054,d78a993f8f804607be4955d1217b85ee,Net energy imports [Imports - Exports - Bunkers],Petajoules,0,,,,,,,,,,,,,,,,,,,x,Net energy imports,Trade and balance of payments,Petajoules
,15,International merchandise trade,14,Major trading partners,SYB016,98217db641c4408ebbfbd466bc435ed1,Share of exports to first major trading partner,Percent,0,,,,,,,,,,,,,,,,,,,x,Share of exports to top export partner,Trade and balance of payments,Percent
,15,International merchandise trade,14,Major trading partners,SYB017,5d20115697c64d96bfb5c5d8f93a9397,Share of imports from first major trading partner,Percent,0,,,,,,,,,,,,,,,,,,,x,Share of imports to top import partner,Trade and balance of payments,Percent
,6,National accounts,19,Gross domestic product and gross domestic product per capita,SYB026,18378adffb914440b6f6ae8579b9706d,GDP real rates of growth,Percent,0,,,,,,,,,,,,,,,,,,,x,GDP real growth rate,National accounts and labour market,Percent
,13,Environment,64,Land,SYB047,686bb7cb792748a29b203842f553f249,Forest cover as percent of total land area,Percent,0,,,,,,,,,,,,,,,,,,,x,Forest cover as percent of total land area,Environment,Percent
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB001,f4ebc92d8aea47bdac090dfa3da29bb2,Gross education enrollment ratio,Ratio,0,,,,,,,,,,,,,,,F,Female,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB001,f4ebc92d8aea47bdac090dfa3da29bb2,Gross education enrollment ratio,Ratio,0,,,,,,,,,,,,,,,F,Female,AGG_5T8,Tertiary education,,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB001,f4ebc92d8aea47bdac090dfa3da29bb2,Gross education enrollment ratio,Ratio,0,,,,,,,,,,,,,,,F,Female,ISCED11_1,Primary education,,,,
