,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
0,0,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),149,2019.0,20.0,1.0,0.0,,,194,1,World
0,0,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),2,2019.0,20.0,1.0,0.0,,,2,53,Australia and New Zealand
1,1,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),13,2019.0,20.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),38,2019.0,20.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),24,2019.0,20.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),39,2019.0,20.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),1,2019.0,20.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),18,2019.0,20.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'15,'15.1,15.1.2,ER_PTD_FRWRT,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),14,2019.0,20.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
