,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
0,0,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),88,2016.0,7.0,1.0,0.0,,,194,1,World
0,0,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),0,,,,,,,2,53,Australia and New Zealand
1,1,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),6,2017.0,6.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),12,2012.0,2.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),9,2011.0,9.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),39,2016.0,7.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),1,2017.0,12.0,1.0,0.0,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),15,2014.0,7.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'12,'12.4,12.4.2,EN_HAZ_GENV,Hazardous waste generated (Tonnes),6,2017.0,14.0,1.0,0.0,,,16,753,Eastern and South-Eastern Asia
