,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
0,0,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),12,2019.0,1.0,1.0,0.0,,,194,1,World
0,0,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),0,,,,,,,2,53,Australia and New Zealand
1,1,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),1,2019.0,1.0,1.0,0.0,,,14,62,Central and Southern Asia
2,2,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),1,2019.0,1.0,1.0,0.0,,,48,202,Sub-Saharan Africa
3,3,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),2,2019.0,1.0,1.0,0.0,,,33,419,Latin America and the Caribbean
4,4,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),7,2019.0,1.0,1.0,0.0,,,45,513,Europe and Northern America
5,5,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),1,2019.0,1.0,1.0,0.0,,,24,747,Northern Africa and Western Asia
7,7,'12,'12.1,12.1.1,SG_SCP_OTHER,Country with Other implementing activities for sustainable consumption and production (1 = YES; 0 = NO),0,,,,,,,16,753,Eastern and South-Eastern Asia
