,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
0,0,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",159,2016.0,7.0,3.0,1.0,3.0,0.7484276729559748,194,1,World
0,0,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",2,2017.0,8.0,3.0,1.0,3.0,1.0,2,53,Australia and New Zealand
1,1,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",12,2016.5,6.5,2.0,1.0,2.0,0.5,14,62,Central and Southern Asia
2,2,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",27,2016.0,4.0,1.0,1.0,1.0,0.3333333333333333,48,202,Sub-Saharan Africa
3,3,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",33,2016.0,7.0,3.0,1.0,3.0,0.9696969696969697,33,419,Latin America and the Caribbean
4,4,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",45,2017.0,8.0,3.0,1.0,3.0,1.0,45,513,Europe and Northern America
5,5,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",6,2011.5,2.5,1.0,1.0,1.0,0.3333333333333333,12,543,Oceania (excluding Australia and New Zealand)
6,6,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",20,2016.0,5.5,3.0,1.0,3.0,0.8,24,747,Northern Africa and Western Asia
7,7,'16,'16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",14,2016.0,7.0,2.0,1.0,2.0,0.5,16,753,Eastern and South-Eastern Asia
