,index,Goal,Target,Indicator_ref,Series_code,Series_desc,n_countries_available,median_max_year,median_n_years,median_n_timeSeries,n_dimensions,median_values_per_dim,mean_data_for_female,n_countries_total,regionCode,regionName
0,0,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,194,1,World
0,0,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,2,53,Australia and New Zealand
1,1,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,14,62,Central and Southern Asia
2,2,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,48,202,Sub-Saharan Africa
3,3,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,33,419,Latin America and the Caribbean
4,4,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,45,513,Europe and Northern America
5,5,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,12,543,Oceania (excluding Australia and New Zealand)
6,6,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,24,747,Northern Africa and Western Asia
7,7,'6,'6.b,6.b.1,ER_WAT_PARTIC,Proportion of countries with high level of users/communities participating in planning programs in water resources planning and management (%),0,,,,,,,16,753,Eastern and South-Eastern Asia
