,Goal,regionCode,regionName,avg_n_countries_available,avg_median_max_year,avg_median_n_years,avg_median_n_timeSeries,avg_n_dimensions,avg_median_values_per_dim,mean_data_for_female,n_countries_total
0,'1,1,World,139.8027778,2016.141856,7.475568182,2.378787879,0.666666667,2.568181818,0.276820428,194
1,'1,53,Australia and New Zealand,1.275,2016.25625,9.04375,1.4,0.4,2,0.125,2
2,'1,62,Central and Southern Asia,11.61666667,2016.738258,7.819507576,2.409090909,0.666666667,2.613636364,0.267657343,14
3,'1,202,Sub-Saharan Africa,37.81388889,2016.041288,6.721843434,2.378787879,0.666666667,2.568181818,0.255058204,48
4,'1,419,Latin America and the Caribbean,23.30694444,2016.983523,10.95094697,2.378787879,0.666666667,2.568181818,0.271354515,33
5,'1,513,Europe and Northern America,29.30277778,2016.064015,10.80782828,2.136363636,0.666666667,2.204545455,0.299286009,45
6,'1,543,Oceania (excluding Australia and New Zealand),8.018055556,2013.832407,5.000925926,2.037037037,0.666666667,2.055555556,0.25,12
7,'1,747,Northern Africa and Western Asia,16.62638889,2015.058775,6.673926768,2.378787879,0.666666667,2.568181818,0.269498557,24
8,'1,753,Eastern and South-Eastern Asia,11.84305556,2016.273106,8.212689394,2.378787879,0.666666667,2.568181818,0.26780303,16
81,'2,1,World,135.75,2016.464286,11.23809524,1.214285714,0.5,1.360562393,0.20220371,194
82,'2,53,Australia and New Zealand,1.428571429,2013.458333,10.29166667,1.166666667,0.583333333,1.147416523,0.333333333,2
83,'2,62,Central and Southern Asia,10.73214286,2016.410714,10.98214286,1.202380952,0.5,1.318895726,0.241071429,14
84,'2,202,Sub-Saharan Africa,35.64285714,2016.785714,10.08333333,1.285714286,0.5,1.610562393,0.166666667,48
85,'2,419,Latin America and the Caribbean,23.73214286,2016.607143,11.28571429,1.285714286,0.5,1.610562393,0.178030303,33
86,'2,513,Europe and Northern America,28.57142857,2014.928571,9.80952381,1.297619048,0.5,1.652229059,0.230263158,45
87,'2,543,Oceania (excluding Australia and New Zealand),6.964285714,2016.375,10,1,0.333333333,1,0,12
88,'2,747,Northern Africa and Western Asia,16.75,2016.321429,10.88095238,1.214285714,0.5,1.360562393,0.15,24
89,'2,753,Eastern and South-Eastern Asia,11.92857143,2017.178571,11.66666667,1.214285714,0.5,1.360562393,0.1875,16
90,'3,1,World,175.4967949,2017.030769,8.077564103,4.024358974,0.994871795,4.659104529,0.721813725,194
91,'3,53,Australia and New Zealand,1.75982906,2017.057692,10.08333333,4.032051282,1.006410256,4.64228366,0.722222222,2
92,'3,62,Central and Southern Asia,13.31346154,2017.126923,8.332371795,4.024358974,0.994871795,4.659104529,0.722222222,14
93,'3,202,Sub-Saharan Africa,45.51923077,2016.915385,7.390064103,3.947435897,0.994871795,4.626560838,0.722222222,48
94,'3,419,Latin America and the Caribbean,29.95811966,2017.069231,8.26025641,3.947435897,0.994871795,4.626560838,0.722222222,33
95,'3,513,Europe and Northern America,38.45149573,2016.769231,9.833333333,3.993589744,1.006410256,4.625462792,0.720164609,45
96,'3,543,Oceania (excluding Australia and New Zealand),9.842948718,2016.511538,7.231410256,3.947435897,0.994871795,4.626560838,0.722222222,12
97,'3,747,Northern Africa and Western Asia,21.46965812,2016.992308,8.067948718,3.962820513,0.994871795,4.625462792,0.722222222,24
98,'3,753,Eastern and South-Eastern Asia,15.18205128,2017.165385,8.394871795,3.985897436,0.994871795,4.642832684,0.722222222,16
99,'4,1,World,108.2587302,2016.655556,4.702380952,7.461111111,1.588888889,2.937661293,0.617164017,194
100,'4,53,Australia and New Zealand,0.928571429,2015.427083,6.78125,5.333333333,1.729166667,2.556985126,0.666666667,2
101,'4,62,Central and Southern Asia,7.312698413,2016.497619,4.198412698,6.844444444,1.588888889,2.872420997,0.614583333,14
102,'4,202,Sub-Saharan Africa,25.93809524,2015.605379,3.465167549,4.808641975,1.592592593,2.577198992,0.480208333,48
103,'4,419,Latin America and the Caribbean,19.18412698,2017.096032,5.558730159,8.727777778,1.588888889,3.03936651,0.580279334,33
104,'4,513,Europe and Northern America,25.86190476,2016.377778,6.33968254,7.411111111,1.588888889,2.924603906,0.681145431,45
105,'4,543,Oceania (excluding Australia and New Zealand),4.307936508,2015.083333,3.496031746,3.257936508,0.888888889,2.589267304,0.4,12
106,'4,747,Northern Africa and Western Asia,15.19047619,2016.561111,4.700793651,7.677777778,1.588888889,2.985517785,0.616421569,24
107,'4,753,Eastern and South-Eastern Asia,9.534920635,2016.772928,4.882716049,7.104938272,1.592592593,2.809583872,0.568001443,16
108,'5,1,World,78.99074074,2016.240741,2.333333333,3.203703704,1.138888889,2.01040824,0.961734694,194
109,'5,53,Australia and New Zealand,0.601851852,2015.328125,4.515625,1.25,1,1.129960525,0.9375,2
110,'5,62,Central and Southern Asia,5.75154321,2016.916667,1.986111111,2.388888889,1.138888889,1.916546882,0.953571429,14
111,'5,202,Sub-Saharan Africa,21.97222222,2015.699074,1.902777778,2.296296296,1.166666667,1.885358311,0.955357143,48
112,'5,419,Latin America and the Caribbean,13.52777778,2016.444444,2.763888889,2.685185185,1.138888889,1.929760265,0.953571429,33
113,'5,513,Europe and Northern America,17.85030864,2015.944444,3.083333333,2.444444444,1.111111111,1.548238081,0.945833333,45
114,'5,543,Oceania (excluding Australia and New Zealand),3.833333333,2014.958333,2.25,7.333333333,1.333333333,1.781200726,0.96875,12
115,'5,747,Northern Africa and Western Asia,9.115740741,2016.5,2.333333333,2.777777778,1.111111111,1.804737854,0.969362745,24
116,'5,753,Eastern and South-Eastern Asia,6.337962963,2016.25,2.662037037,4.333333333,1.166666667,2.083347655,0.982142857,16
117,'6,1,World,115.0208333,2017.28125,8.53125,1.270833333,0.375,1.666666667,0,194
118,'6,53,Australia and New Zealand,1.166666667,2017.428571,8.785714286,1.142857143,0.428571429,1.375,0,2
119,'6,62,Central and Southern Asia,8.572916667,2017.357143,11.25,1.619047619,0.428571429,2.333333333,0,14
120,'6,202,Sub-Saharan Africa,28.34895833,2017.28125,8.625,1.375,0.375,2,0,48
121,'6,419,Latin America and the Caribbean,18.88541667,2017.28125,8.572916667,1.458333333,0.375,2.041666667,0,33
122,'6,513,Europe and Northern America,27.4375,2017.239583,8.03125,1.270833333,0.375,1.666666667,0,45
123,'6,543,Oceania (excluding Australia and New Zealand),6.489583333,2017.15625,7.645833333,1.25,0.375,1.5,0,12
124,'6,747,Northern Africa and Western Asia,14.65104167,2017.28125,8.53125,1.270833333,0.375,1.666666667,0,24
125,'6,753,Eastern and South-Eastern Asia,9.46875,2017.28125,8.604166667,1.375,0.375,2,0,16
126,'7,1,World,176.125,2017.125,17.875,1.25,0.125,3,0,194
127,'7,53,Australia and New Zealand,1.5,2017.166667,19.83333333,1.333333333,0.166666667,3,0,2
128,'7,62,Central and Southern Asia,14,2017.125,18.75,1.25,0.125,3,0,14
129,'7,202,Sub-Saharan Africa,47.625,2017.125,17.75,1.25,0.125,3,0,48
130,'7,419,Latin America and the Caribbean,32.625,2017.125,17.875,1.25,0.125,3,0,33
131,'7,513,Europe and Northern America,32,2017.166667,19.83333333,1.333333333,0.166666667,3,0,45
132,'7,543,Oceania (excluding Australia and New Zealand),12,2017.125,17,1.25,0.125,3,0,12
133,'7,747,Northern Africa and Western Asia,21.375,2017.125,18.375,1.25,0.125,3,0,24
