goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	modeOfTransportation_code	modeOfTransportation_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	4	202	Sub-Saharan Africa	Region						MOT_AIR	Air transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	32.0	32.0		32,758,451		ICAO		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	4	202	Sub-Saharan Africa	Region						MOT_RAI	Rail transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	13.0	13.0		13,847,278,027		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	29.0	29.0		29,081,559,570		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	22.0	22.0		22,412,620,342		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	9.0	9.0		9,699,843,425		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	1.0	1.0		1,566,517,144		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	16.0	16.0		16,597,408,045		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	5.0	5.0		5,212,171,239		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	MOT_RAI	Rail transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	1.0	1.0		1,667,902,381		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.1	Develop quality, reliable, sustainable and resilient infrastructure, including regional and transborder infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all	C090102	9.1.2	I	ICAO, ITF-OECD	Passenger and freight volumes, by mode of transport	2019.Q4.G.01	['physical infrastructure', 'transport infrastructure', 'goods transport']	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	MOT_ROA	Road transport	[2017]	2017	2017	1	T_KM	Tonne kilometres	G	Global	6.0	6.0		6,733,216,442		the International Transport Forum at the OECD (ITF-OECD)		C: Country data
