goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,0.1798,2.22781,0.38337,0.99679,6.36817,1.10888,1.54863,2.12072,11.59507,13.4877,3.94489,46.429,34.26833,71.96572,14.15121,53.43351,53.43351,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,"[2002, 2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,14,CON_USD,Constant USD,G,Global,16.67846,0.60907,,,1.26679,0.03711,5.16101,7.87254,4.82077,16.37577,8.4482,48.81421,3.84749,13.16147,5.56236,5.436,5.436,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",11,Western Africa,4,202,Sub-Saharan Africa,Region,,,,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,74.71891,71.20934,284.45757,240.02765,72.78269,89.55999,185.51646,171.99853,264.15877,266.20735,371.33153,374.97393,468.77177,749.78228,515.97141,679.55852,679.55852,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,"[2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2017]",2005,2017,10,CON_USD,Constant USD,G,Global,,,,0.00119,,,9.893,0.95602,0.5476,5.88871,14.31001,0.34896,0.49977,0.29714,,1.05157,1.05157,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,13.65529,13.54996,1.28026,2.15852,39.71188,2.8738,11.91467,10.4131,49.1482,19.77071,54.20579,26.41367,58.15913,42.16086,15.34209,20.97835,20.97835,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,1.01075,7.62123,0.14887,7.26225,2.35959,0.42928,0.35189,14.57742,4.02283,5.46791,58.87965,36.8687,12.18907,14.65764,2.53084,2.29061,2.29061,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,5.45913,0.11535,26.43131,7.7875,12.47984,10.19624,13.94844,10.51178,13.72361,100.037,147.43288,7.81917,9.32026,46.57078,20.65448,69.18819,69.18819,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",127,Southern Asia (excluding India),1,,,Group,,,,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,50.35731,122.76491,70.09007,78.43419,138.49799,64.28849,141.51375,147.13319,595.21845,244.07735,209.60302,243.26636,359.36069,125.41223,381.18873,113.71551,113.71551,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",13,Central America,4,419,Latin America and the Caribbean,Region,,,,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,64.71916,53.7768,98.36692,90.96264,318.59105,225.4488,101.63517,65.92889,170.3524,151.64184,239.43257,159.87266,133.26954,121.32586,122.40673,340.67599,340.67599,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200207,15.a.1,I/III,"OECD, UNEP, World Bank",Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems,2019.Q4.G.01,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVL,"Total official development assistance for biodiversity, by recipient countries (millions of constant 2017 United States dollars)",132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,3.91118,12.16808,3.82355,22.33814,3.11527,2.02582,7.55114,8.21699,5.98172,6.80787,0.90476,0.81838,0.59496,30.41861,0.57081,0.41675,0.41675,,,"CommitmentsBased on OECD, CRS databased, 2019 | Constant 2017 USD million | Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
