series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	age_code	age_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	32.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	_T	Both sexes	G	Global	2010				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	10.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	M	Male	G	Global	2010				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	22.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	F	Female	G	Global	2010				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	54.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	F	Female	G	Global	2011				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	1.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	M	Male	G	Global	2011				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	55.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	_T	Both sexes	G	Global	2011				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	53.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	_T	Both sexes	G	Global	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	8.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	M	Male	G	Global	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	45.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	F	Female	G	Global	2012				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	52.0					GLOTIP Database	Data in reference to one country but derived from different types of sources should not be compared between them.\n	C	Country data	NUMBER	Number	_T	All age ranges or no breaks by age	F	Female	G	Global	2013				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
