series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfProduct_code	typeOfProduct_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	8.75937					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2000				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	8.80779					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2001				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	8.81154					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2002				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	9.15964					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2003				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	9.56771					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2004				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	9.87032					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2005				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	10.1951					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2006				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	10.51977					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2007				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	10.56885					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2008				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	10.49399					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2009				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	10.99898					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2010				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	11.42558					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2011				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	11.45464					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2012				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	11.67382					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2013				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	11.72166					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2014				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	11.84276					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2015				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	12.01324					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2016				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	12.18155					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global	2017				1			Region					
