series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfSkill_code	typeOfSkill_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	124	Canada	0.83656					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	124	Canada	0.82447					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	152	Chile	1.07227					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	152	Chile	1.17131					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	196	Cyprus	0.9027					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	196	Cyprus	0.96282					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	203	Czechia	0.89655					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	203	Czechia	0.93911					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	208	Denmark	0.73527					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	208	Denmark	0.70278					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	233	Estonia	0.8655					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	233	Estonia	0.9087					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	246	Finland	0.67272					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	246	Finland	0.68468					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	250	France	0.68977					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	250	France	0.62016					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	276	Germany	0.71627					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
