series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	modeOfTransportation_code	modeOfTransportation_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	4,986,942,556			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	56.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	56,786,695			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	687.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	687,279,583			4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	46.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	46,604,337,766			4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	21.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	21,769,722,100			4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	14.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	14,900,708,065			4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	154.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	154,074,010,149			4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	861.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	861,739,881			4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	31.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	31,319,944,992			5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	158.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	158,281			5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	Canada	209.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	209,274,907,308			4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	124	Canada	8.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	8,584,704,732			4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	13	Central America	126.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	126,880,756,834			4	419	Latin America and the Caribbean	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	13	Central America	18.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	18,794,730,279			4	419	Latin America and the Caribbean	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	13	Central America	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	1,316,479,648,751			4	419	Latin America and the Caribbean	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	Cabo Verde	4.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	4,033,469			5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	132	Cabo Verde	2.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	2,041,573,074			5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	Cayman Islands	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	1,040,268,237			5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	Cayman Islands	3.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	3,781,228			5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	14	Eastern Africa	17.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	17,925,752,981			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	14	Eastern Africa	57.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	57,178,719,366			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	14	Eastern Africa	269.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	269,527,296,788			4	202	Sub-Saharan Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	Central African Republic	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	1,559,839,484			5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	Central African Republic	24.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	142	Asia	10.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	10,718,204,549,154			2	1	World	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	142	Asia	4.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	4,623,841,703,199			2	1	World	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	142	Asia	3.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	3,322,465,484,167			2	1	World	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	143	Central Asia	205.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	205,191,945,561			3	142	Asia	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	143	Central Asia	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	1,123,024,178			3	142	Asia	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	143	Central Asia	24.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	24,209,797,414			3	142	Asia	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	Sri Lanka	24.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	24,113,903,596			4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	Sri Lanka	115.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	115,991,740,910			4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	145	Western Asia	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	1,165,004,762,346			3	142	Asia	Region					
