series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	108	Burundi	11.43					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	108	Burundi	16.03					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	108	Burundi	7.27					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2014				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	112	Belarus	91.48					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	112	Belarus	93.49					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	112	Belarus	94.99					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	120	Cameroon	75.37					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2014				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	68.46					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2015				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	71.04					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2015				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	74.1					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2015				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	71.19					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2016				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	72.39					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2016				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	73.61					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2016				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	74.21					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2017				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	74.66					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2017				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	73.75					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2017				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	91.56					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2016				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	95.32					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2016				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	98.82					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2016				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	86.67					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2017				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	92.01					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2017				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	97.15					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2017				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	158	Other non-specified areas	97.6					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male	2017				4	30	Eastern Asia	Country					
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	158	Other non-specified areas	97.55					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes	2017				4	30	Eastern Asia	Country					
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	158	Other non-specified areas	97.5					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female	2017				4	30	Eastern Asia	Country					
