series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	modeOfTransportation_code	modeOfTransportation_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	21.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	21,539,785,850,065			1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	10.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	10,679,521,958,720			1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	223.0					ICAO		C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017	223,729,522,118			1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	22.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	22,450,330,345			4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	2.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	2,888,462,138			4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	14.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	14,516,957,741			4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	4.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	4,057,207,697			4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	Burundi	622.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	622,183,684			5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	Burundi	0.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	109.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	109,310,266,593			4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	32.0					ICAO		C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017	32,758,451			4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	13.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	13,847,278,027			4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	29.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	29,081,559,570			4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	22.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	22,412,620,342			4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	9.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	9,699,843,425			4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	1,566,517,144			4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	16.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	16,597,408,045			4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	5.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	5,212,171,239			4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2017	1,667,902,381			5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	6.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2017	6,733,216,442			5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
