series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	educationLevel_code	educationLevel_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	76.59913					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2015				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	47.03161					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2015				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	63.93451					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2015				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	64.41494					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	47.69951					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	76.16337					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	47.87459					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	76.23686					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	64.45837					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	47.72443					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2012				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	0.56269					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2012				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	0.94009					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	0.0					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	0.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	17.12329					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	0.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	0.0					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	17.12329					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	100.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	100.0					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	100.0					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	100.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	100.0					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	100.0					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	120	Cameroon	84.16124					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	120	Cameroon	72.187					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	74.88184					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2011				1			Group					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	73.53548					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2012				1			Group					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	56.42181					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2012				1			Group					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	26.9858					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				1			Group					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	26.87489					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				1			Group					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	132	Cabo Verde	100.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2016				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	132	Cabo Verde	100.0					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	132	Cabo Verde	100.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
