series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	educationLevel_code	educationLevel_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2015.0	76.59913					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2015.0	47.03161					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2015.0	63.93451					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2016.0	64.41494					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2016.0	47.69951					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2016.0	76.16337					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2017.0	47.87459					UIS		E	Estimated data	PT	Percentage	ISCED11_1	Primary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2017.0	76.23686					UIS		E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	2017.0	64.45837					UIS		E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global				1			Region					
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	2012.0	47.72443					UIS		C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	2012.0	0.56269					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	2017.0	0.94009					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	2016.0	0.0					UIS		C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	2016.0	0.0					UIS		C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
