series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfProduct_code	typeOfProduct_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2000.0	53826392569.72					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2001.0	54814494376.0399					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2002.0	55531625387.96					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2003.0	58451426329.07					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2004.0	61820541822.44					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2005.0	64573227896.94					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2006.0	67530796691.27					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2007.0	70549968243.37					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2008.0	71760052038.82					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2009.0	72132970028.68					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2010.0	76532750381.32					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2011.0	80470468102.91					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2012.0	81650722380.98					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2013.0	84208205988.21					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2014.0	85550011428.93					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2015.0	87435173507.7					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2016.0	89702465526.98					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRTN	Material footprint, by type of raw material (tonnes)	1	World	2017.0	91973870430.79					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
