series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	108	Burundi	2014.0	11.43					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	108	Burundi	2014.0	16.03					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	108	Burundi	2014.0	7.27					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	112	Belarus	2017.0	91.48					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	112	Belarus	2017.0	93.49					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	112	Belarus	2017.0	94.99					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	120	Cameroon	2014.0	75.37					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2015.0	68.46					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2015.0	71.04					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2015.0	74.1					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2016.0	71.19					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2016.0	72.39					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2016.0	73.61					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2017.0	74.21					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2017.0	74.66					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	132	Cabo Verde	2017.0	73.75					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	2016.0	91.56					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	2016.0	95.32					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	2016.0	98.82					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	2017.0	86.67					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	2017.0	92.01					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	152	Chile	2017.0	97.15					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	158	Other non-specified areas	2017.0	97.6					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	M	Male				4	30	Eastern Asia	Country					
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	158	Other non-specified areas	2017.0	97.55					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	_T	Both sexes				4	30	Eastern Asia	Country					
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	158	Other non-specified areas	2017.0	97.5					ITU World Telecommunication/ICT Indicators database.		C	Country data	PT	Percentage	F	Female				4	30	Eastern Asia	Country					
