series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	1	World	2000.0	51.00603					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	1	World	2005.0	54.00151					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	1	World	2010.0	56.60658					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	100	Bulgaria	2000.0	100.0					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	100	Bulgaria	2005.0	100.0					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	100	Bulgaria	2010.0	100.0					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	104	Myanmar	2000.0	78.6939					FAO, Global Forest Resources Assessment		E	Estimated data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	104	Myanmar	2005.0	93.8537					FAO, Global Forest Resources Assessment		E	Estimated data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	104	Myanmar	2010.0	98.4263					FAO, Global Forest Resources Assessment		E	Estimated data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	11	Western Africa	2000.0	14.35434					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	202	Sub-Saharan Africa	Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	11	Western Africa	2005.0	15.30668					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	202	Sub-Saharan Africa	Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	11	Western Africa	2010.0	18.15188					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	202	Sub-Saharan Africa	Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	112	Belarus	2000.0	100.0					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	112	Belarus	2005.0	100.0					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	112	Belarus	2010.0	100.0					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	12	Algeria	2000.0	53.7049					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	12	Algeria	2005.0	68.8802					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	12	Algeria	2010.0	88.807					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	120	Cameroon	2010.0	39.4005					FAO, Global Forest Resources Assessment		C	Country data	PT	Percentage	G	Global				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	13	Central America	2000.0	2.01744					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	419	Latin America and the Caribbean	Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	13	Central America	2005.0	1.92423					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	419	Latin America and the Caribbean	Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	13	Central America	2010.0	2.57066					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	419	Latin America and the Caribbean	Region					
AG_LND_FRSTMGT	Proportion of forest area with a long-term management plan (%)	135	Caucasus and Central Asia	2000.0	54.59257					FAO, Global Forest Resources Assessment	Aggregate. Only countries with data for all years included;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Group					
