series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfProduct_code	typeOfProduct_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2000.0	8.75937					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2001.0	8.80779					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2002.0	8.81154					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2003.0	9.15964					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2004.0	9.56771					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2005.0	9.87032					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2006.0	10.1951					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2007.0	10.51977					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2008.0	10.56885					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2009.0	10.49399					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2010.0	10.99898					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2011.0	11.42558					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2012.0	11.45464					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2013.0	11.67382					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2014.0	11.72166					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2015.0	11.84276					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2016.0	12.01324					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
EN_MAT_FTPRPC	Material footprint per capita, by type of raw material (tonnes)	1	World	2017.0	12.18155					Environment Live / Global Material Flows Database		E	Estimated data	TONNES	Tonnes	ALP	All products	G	Global				1			Region					
