series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	educationLevel_code	educationLevel_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	1			Region						ISCED11_3	Upper secondary	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global																64.54058	63.76674	63.6388		63.6388				UIS		E: Estimated data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	1			Region						ISCED11_1	Primary	[2016]	2016	2016	1	PT	Percentage	G	Global																	46.17433			46.17433				UIS		E: Estimated data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	1			Region						ISCED11_2	Lower secondary	[2016]	2016	2016	1	PT	Percentage	G	Global																	68.69283			68.69283				UIS		E: Estimated data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_2	Lower secondary	[2017]	2017	2017	1	PT	Percentage	G	Global																		0.77214		0.77214				UIS		C: Country data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_1	Primary	[2017]	2017	2017	1	PT	Percentage	G	Global																		0.18915		0.18915				UIS		C: Country data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_3	Upper secondary	[2017]	2017	2017	1	PT	Percentage	G	Global																		11.57726		11.57726				UIS		C: Country data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	0.0	0.0		0.0				UIS		C: Country data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	0.0	0.0		0.0				UIS		C: Country data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	6.84932	6.84932		6.84932				UIS		C: Country data
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	99.46309	99.62134		99.62134				UIS		C: Country data
