series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	1	World	1			Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.42209	0.40127	0.36013	0.36509	0.38457	0.41451	0.34425	0.3526	0.3016	0.27709	0.283	0.27778	0.26039	0.28466	0.30736	0.28932	0.27585	0.27585			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.23363	0.37123	0.41102	0.41029	0.54566	0.75601	0.60287	0.39895	0.4416	0.36268	0.97147	1.0455	0.91953	0.81	1.2779	0.81011	0.84282	0.84282			Central Government	FAO Questionnaire. UNSD national account estimates.		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6	IX	Index	G	Global												0.12984	0.13822	0.13693	0.13552	0.11657	0.15964	0.15964			Central Government	Combined IMF and FAO Questionaire. UNSD national account estimates.		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2010, 2011, 2012, 2013]	2010	2013	4	IX	Index	G	Global										0.0298	0.07846	0.08512	0.07271					0.07271			Budgetary Central Government	IMF data. UNSD national account estimates		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.17289	0.22113	0.07052	0.14334	0.18214	0.24111	0.22006	0.22534	0.16246	0.10859	0.13071	0.11761	0.10107	0.18937	0.26074	0.26373	0.17138	0.17138			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	1.11608	1.04338	1.23501	1.66814	1.73193	1.5941	1.37549	1.17393	1.42321	1.23443	1.21861	0.96298	0.95491	0.91555	1.171	1.0629	0.74669	0.74669			Central Government	IMF data. UNSD national account estimates		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2006, 2007, 2008, 2009]	2006	2009	4	IX	Index	G	Global						0.56202	0.28959	0.78991	0.39058									0.39058			Budgetary Central Government	IMF data. UNSD national account estimates		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017]	2009	2017	8	IX	Index	G	Global									1.05063	1.09927	0.90804	0.89689		0.81436	0.59171	0.72976	0.6198	0.6198			Central Government	FAO Questionnaire. UNSD national account estimates.		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	13	Central America	4	419	Latin America and the Caribbean	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.27935	0.21545	0.24838	0.27772	0.24957	0.28351	0.33006	0.37897	0.36406	0.60733	0.58247	0.63868	0.79444	0.76164	0.69145	0.58195	0.4491	0.4491			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2001, 2002, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	15	IX	Index	G	Global	0.66948	0.78084			0.46056	0.42561	0.58302	0.62589	0.50426	0.59073	0.74953	0.53329	0.51738	0.42521	0.50017	0.31827	0.38638	0.38638			Central Government	Official country publications. UNSD national account estimates.		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	135	Caucasus and Central Asia	1			Group						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.38044	0.54581	0.54927	0.71548	0.482	0.54602	0.57076	0.58926	0.55039	0.65601	0.54257	0.55503	0.47947	0.42768	0.45283	0.43393	0.35923	0.35923			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	14	Eastern Africa	4	202	Sub-Saharan Africa	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.16413	0.18748	0.17624	0.17552	0.24777	0.24128	0.25169	0.2262	0.23386	0.20746	0.23736	0.16046	0.15413	0.15447	0.14306	0.15644	0.16979	0.16979			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[2008, 2009, 2010]	2008	2010	3	IX	Index	G	Global								0.03279	0.0502	0.04567								0.04567			Budgetary Central Government	IMF data. UNSD national account estimates		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	143	Central Asia	3	142	Asia	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.38044	0.54581	0.69878	0.87202	0.57596	0.62556	0.63245	0.77708	0.69221	0.92354	0.66249	0.7088	0.5824	0.48278	0.5198	0.46065	0.37417	0.37417			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.36443	0.38176	0.41638	0.42138	0.50734	0.63785	0.5693	0.66283	0.64869	0.62731	0.59939	0.65441	0.51529	0.71701	0.77261	0.7548	0.69479	0.69479			Central Government	FAO Questionnaire. UNSD national account estimates.		C: Country data
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	145	Western Asia	3	142	Asia	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.52854	0.48733	0.46351	0.75091	0.55776	0.42153	0.50855	0.46911	0.43682	0.40759	0.45331	0.55249	0.56428	0.58893	0.55321	0.5117	0.51685	0.51685			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	15	Northern Africa	3	2	Africa	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	1.04803	1.13935	0.95494	0.36813	0.25996	0.26383	0.20908	0.30855	0.22424	0.14437	0.12568	0.16639	0.16831	0.14056	0.1294	0.1143	0.12029	0.12029			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	150	Europe	2	1	World	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.59409	0.55881	0.5209	0.52453	0.58585	0.66688	0.62381	0.54691	0.54437	0.47244	0.50969	0.45918	0.44816	0.43827	0.42583	0.43223	0.43713	0.43713			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
AG_PRD_ORTIND	Agriculture orientation index for government expenditures	151	Eastern Europe	3	150	Europe	Region						[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2001	2017	17	IX	Index	G	Global	0.5053	0.51922	0.53396	0.54078	0.69355	0.9874	0.94462	0.54248	0.57981	0.49734	0.60585	0.54743	0.56179	0.4966	0.46196	0.48568	0.50181	0.50181			Combined Budgetary and Central Government Expenditure	Combined IMF and FAO Questionaire. Official country publications. UNSD national account estimates.		_X: Data nature not available
