series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	educationLevel_code	educationLevel_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	1			Region						ISCED11_3	Upper secondary	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global																76.59913	76.16337	76.23686		76.23686				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	1			Region						ISCED11_1	Primary	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global																47.03161	47.69951	47.87459		47.87459				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	1	World	1			Region						ISCED11_2	Lower secondary	[2015, 2016, 2017]	2015	2017	3	PT	Percentage	G	Global																63.93451	64.41494	64.45837		64.45837				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_3	Upper secondary	[2012]	2012	2012	1	PT	Percentage	G	Global													47.72443							47.72443				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	ISCED11_1	Primary	[2012, 2017]	2012	2017	2	PT	Percentage	G	Global													0.56269					0.94009		0.94009				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	0.0	0.0		0.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	0.0	0.0		0.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	17.12329	17.12329		17.12329				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	100.0	100.0		100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	100.0	100.0		100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	100.0	100.0		100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	ISCED11_3	Upper secondary	[2016]	2016	2016	1	PT	Percentage	G	Global																	84.16124			84.16124				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	ISCED11_2	Lower secondary	[2016]	2016	2016	1	PT	Percentage	G	Global																	72.187			72.187				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	1			Group						ISCED11_3	Upper secondary	[2011, 2012]	2011	2012	2	PT	Percentage	G	Global												74.88184	73.53548							73.53548				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	1			Group						ISCED11_2	Lower secondary	[2012]	2012	2012	1	PT	Percentage	G	Global													56.42181							56.42181				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	127	Southern Asia (excluding India)	1			Group						ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	26.9858	26.87489		26.87489				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	100.0	100.0		100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	100.0	100.0		100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	ISCED11_1	Primary	[2017]	2017	2017	1	PT	Percentage	G	Global																		40.7767		40.7767				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	135	Caucasus and Central Asia	1			Group						ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	95.34756	95.24959		95.24959				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	135	Caucasus and Central Asia	1			Group						ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	95.43328	95.30199		95.30199				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	135	Caucasus and Central Asia	1			Group						ISCED11_3	Upper secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	96.00882	95.28936		95.28936				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	ISCED11_1	Primary	[2010, 2018]	2010	2018	2	PT	Percentage	G	Global											76.92308								100.0	100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	ISCED11_2	Lower secondary	[2018]	2018	2018	1	PT	Percentage	G	Global																			100.0	100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1	ISCED11_3	Upper secondary	[2018]	2018	2018	1	PT	Percentage	G	Global																			100.0	100.0				UIS		C: Country data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	143	Central Asia	3	142	Asia	Region						ISCED11_1	Primary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	95.24761	95.16315		95.16315				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	143	Central Asia	3	142	Asia	Region						ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	94.59164	94.53937		94.53937				UIS		E: Estimated data
SE_ACC_COMP	Schools with access toÂ computers for pedagogical purposes, by education level (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	ISCED11_2	Lower secondary	[2016, 2017]	2016	2017	2	PT	Percentage	G	Global																	58.75611	60.47239		60.47239				UIS		C: Country data
