series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	100.0	100.0	87.5	87.5	87.5	66.66667	66.66667	66.66667	66.66667	89.79592	87.5	91.52542	93.54839	92.53731	81.81818	86.76471	92.75362	83.09859	83.09859	83.09859	83.09859			[2000-2001]: Out of 6 local breeds, 17% are of unknown status // [2002-2004]: Out of 9 local breeds, 11% are of unknown status // [2005-2008]: Out of 9 local breeds, 67% are of unknown status // [2009]: Out of 54 local breeds, 9% are of unknown status // [2010]: Out of 59 local breeds, 5% are of unknown status // [2011]: Out of 62 local breeds, 5% are of unknown status // [2012]: Out of 65 local breeds, 5% are of unknown status // [2013]: Out of 70 local breeds, 4% are of unknown status // [2014]: Out of 69 local breeds, 4% are of unknown status // [2015]: Out of 71 local breeds, 4% are of unknown status // [2016]: Out of 72 local breeds, 4% are of unknown status // [2017-2019]: Out of 74 local breeds, 4% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2001,2003-2008,2018-2019]: E: Estimated data // [2002,2009-2017]: C: Country data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			[2000,2004-2008]: Out of 3 local breeds, 0% are of unknown status // [2001-2003]: Out of 3 local breeds, 33% are of unknown status // [2009]: Out of 6 local breeds, 50% are of unknown status // [2010-2019]: Out of 7 local breeds, 43% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2001,2004-2013,2016]: C: Country data // [2002-2003,2014-2015,2017-2019]: E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	90.0	90.90909	90.90909	90.90909	90.90909	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.14286	97.22222	97.22222	97.22222			[2000]: Out of 13 local breeds, 23% are of unknown status // [2001-2004]: Out of 14 local breeds, 21% are of unknown status // [2005-2006]: Out of 14 local breeds, 71% are of unknown status // [2007-2008]: Out of 16 local breeds, 63% are of unknown status // [2009-2012]: Out of 17 local breeds, 65% are of unknown status // [2013-2014]: Out of 18 local breeds, 61% are of unknown status // [2015]: Out of 20 local breeds, 55% are of unknown status // [2016]: Out of 26 local breeds, 23% are of unknown status // [2017]: Out of 37 local breeds, 5% are of unknown status // [2018-2019]: Out of 37 local breeds, 3% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2018]: C: Country data // [2019]: E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1	[2000, 2001, 2002, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	13	PT	Percentage	G	Global	75.0	75.0	66.66667								40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0			[2000-2001]: Out of 12 local breeds, 67% are of unknown status // [2002]: Out of 12 local breeds, 75% are of unknown status // [2010-2019]: Out of 22 local breeds, 55% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2001,2011-2019]: E: Estimated data // [2002,2010]: C: Country data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	150	Europe	2	1	World	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	76.0	77.0	77.0	78.0	79.0	79.0	79.0	81.0	82.0	80.0	80.0	78.0	82.0	83.0	82.0	83.0	84.0	84.0	84.0	84.0	84.0			[2000]: Out of 1475 local breeds, 33% are of unknown status // [2001]: Out of 1584 local breeds, 32% are of unknown status // [2002]: Out of 1702 local breeds, 35% are of unknown status // [2003]: Out of 1859 local breeds, 38% are of unknown status // [2004]: Out of 1965 local breeds, 37% are of unknown status // [2005]: Out of 2023 local breeds, 38% are of unknown status // [2006]: Out of 2043 local breeds, 37% are of unknown status // [2007]: Out of 2087 local breeds, 38% are of unknown status // [2008]: Out of 2131 local breeds, 37% are of unknown status // [2009]: Out of 2695 local breeds, 48% are of unknown status // [2010]: Out of 2736 local breeds, 47% are of unknown status // [2011]: Out of 2794 local breeds, 46% are of unknown status // [2012]: Out of 2883 local breeds, 46% are of unknown status // [2013]: Out of 3084 local breeds, 42% are of unknown status // [2014]: Out of 3107 local breeds, 40% are of unknown status // [2015]: Out of 3143 local breeds, 39% are of unknown status // [2016]: Out of 3186 local breeds, 38% are of unknown status // [2017]: Out of 3206 local breeds, 38% are of unknown status // [2018-2019]: Out of 3208 local breeds, 38% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	151	Eastern Europe	3	150	Europe	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	75.0	65.0	65.0	72.0	72.0	69.0	69.0	78.0	82.0	80.0	82.0	80.0	82.0	78.0	77.0	78.0	80.0	81.0	81.0	81.0	81.0			[2000]: Out of 349 local breeds, 59% are of unknown status // [2001]: Out of 366 local breeds, 59% are of unknown status // [2002]: Out of 375 local breeds, 58% are of unknown status // [2003]: Out of 471 local breeds, 61% are of unknown status // [2004]: Out of 485 local breeds, 61% are of unknown status // [2005]: Out of 488 local breeds, 63% are of unknown status // [2006]: Out of 491 local breeds, 63% are of unknown status // [2007]: Out of 508 local breeds, 64% are of unknown status // [2008]: Out of 517 local breeds, 62% are of unknown status // [2009]: Out of 727 local breeds, 67% are of unknown status // [2010]: Out of 746 local breeds, 63% are of unknown status // [2011]: Out of 760 local breeds, 62% are of unknown status // [2012]: Out of 754 local breeds, 62% are of unknown status // [2013]: Out of 772 local breeds, 59% are of unknown status // [2014]: Out of 769 local breeds, 60% are of unknown status // [2015]: Out of 775 local breeds, 59% are of unknown status // [2016]: Out of 788 local breeds, 58% are of unknown status // [2017]: Out of 796 local breeds, 57% are of unknown status // [2018-2019]: Out of 793 local breeds, 57% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10	PT	Percentage	G	Global											14.28571	14.28571	12.5	0.0	0.0	26.66667	26.66667	20.0	20.0	20.0	20.0			[2010-2011]: Out of 50 local breeds, 86% are of unknown status // [2012]: Out of 51 local breeds, 84% are of unknown status // [2013-2014]: Out of 54 local breeds, 80% are of unknown status // [2015-2019]: Out of 58 local breeds, 74% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2010,2012-2013,2015,2017]: C: Country data // [2011,2014,2016,2018-2019]: E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	154	Northern Europe	3	150	Europe	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	79.0	82.0	82.0	81.0	84.0	84.0	83.0	86.0	87.0	87.0	89.0	88.0	81.0	85.0	85.0	86.0	86.0	85.0	86.0	86.0	86.0			[2000]: Out of 218 local breeds, 32% are of unknown status // [2001]: Out of 219 local breeds, 32% are of unknown status // [2002]: Out of 312 local breeds, 48% are of unknown status // [2003]: Out of 320 local breeds, 48% are of unknown status // [2004]: Out of 327 local breeds, 48% are of unknown status // [2005]: Out of 328 local breeds, 52% are of unknown status // [2006]: Out of 329 local breeds, 51% are of unknown status // [2007]: Out of 331 local breeds, 51% are of unknown status // [2008]: Out of 335 local breeds, 51% are of unknown status // [2009]: Out of 474 local breeds, 66% are of unknown status // [2010]: Out of 477 local breeds, 65% are of unknown status // [2011]: Out of 489 local breeds, 63% are of unknown status // [2012]: Out of 532 local breeds, 57% are of unknown status // [2013]: Out of 553 local breeds, 54% are of unknown status // [2014]: Out of 554 local breeds, 55% are of unknown status // [2015]: Out of 561 local breeds, 54% are of unknown status // [2016]: Out of 565 local breeds, 52% are of unknown status // [2017]: Out of 570 local breeds, 51% are of unknown status // [2018-2019]: Out of 573 local breeds, 50% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	155	Western Europe	3	150	Europe	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2000	2019	20	PT	Percentage	G	Global	78.0	80.0	80.0	81.0	81.0	82.0	82.0	81.0	82.0	79.0	79.0	76.0	87.0	89.0	87.0	88.0	89.0	89.0	89.0	89.0	89.0			[2000]: Out of 527 local breeds, 22% are of unknown status // [2001]: Out of 585 local breeds, 19% are of unknown status // [2002]: Out of 586 local breeds, 19% are of unknown status // [2003]: Out of 592 local breeds, 19% are of unknown status // [2004]: Out of 662 local breeds, 17% are of unknown status // [2005]: Out of 693 local breeds, 18% are of unknown status // [2006]: Out of 698 local breeds, 18% are of unknown status // [2007]: Out of 711 local breeds, 18% are of unknown status // [2008]: Out of 729 local breeds, 18% are of unknown status // [2009]: Out of 852 local breeds, 30% are of unknown status // [2010]: Out of 859 local breeds, 29% are of unknown status // [2011]: Out of 868 local breeds, 30% are of unknown status // [2012]: Out of 895 local breeds, 35% are of unknown status // [2013]: Out of 1032 local breeds, 29% are of unknown status // [2014]: Out of 1054 local breeds, 22% are of unknown status // [2015]: Out of 1073 local breeds, 22% are of unknown status // [2016]: Out of 1081 local breeds, 21% are of unknown status // [2017]: Out of 1085 local breeds, 21% are of unknown status // [2018-2019]: Out of 1088 local breeds, 21% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		E: Estimated data
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2018, 2019]	2000	2019	15	PT	Percentage	G	Global	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	100.0	100.0	100.0						25.0	25.0	25.0			[2000-2001]: Out of 17 local breeds, 24% are of unknown status // [2002]: Out of 18 local breeds, 28% are of unknown status // [2003-2008]: Out of 19 local breeds, 32% are of unknown status // [2009]: Out of 20 local breeds, 35% are of unknown status // [2010-2012]: Out of 20 local breeds, 95% are of unknown status // [2018-2019]: Out of 27 local breeds, 26% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000,2002-2003,2008,2018]: C: Country data // [2001,2004-2007,2009-2012,2019]: E: Estimated data
