series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	23223.388	23572.717	23894.669	24932.891	26106.29	27069.7	27924.34	28979.658	29202.929	28815.207	30489.874	31338.276	31669.225	32287.777	32327.809	32276.039	32314.22	32314.22				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	42.167	45.002	42.461	46.706	45.774	46.473	47.623	50.959	48.5	42.373	44.362	49.166	44.415	39.296	41.576	43.748	40.513	40.513				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	9.282	8.2	8.082	10.259	9.921	10.477	9.715	10.117	7.608	7.214	7.906	8.102	11.447	13.168	16.538	18.671	21.089	21.089				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	61.619	67.962	71.382	73.539	74.029	77.769	74.033	72.117	78.06	72.211	85.078	89.987	95.1	116.418	125.078	123.117	126.83	126.83				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	52.128	50.92	50.793	51.384	54.475	55.023	57.249	55.737	58.453	55.325	59.535	56.423	57.633	57.599	56.836	52.659	53.097	53.097				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	1.963	2.153	2.211	2.378	2.378	2.639	2.945	3.571	3.65	4.37	4.622	4.845	5.054	5.171	6.098	8.012	9.287	9.287				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	61.508	63.017	68.148	71.984	73.377	77.474	80.759	84.88	88.129	94.441	95.535	102.79	112.186	115.657	123.205	130.426	127.64	127.64				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	2.788	2.707	2.896	2.983	3.014	2.936	3.106	4.118	4.269	4.81	5.051	4.874	4.962	5.387	6.027	5.945	6.113	6.113				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	516.259	508.579	514.445	534.262	526.181	540.036	530.718	561.894	541.978	514.489	529.467	537.273	534.263	542.45	544.013	541.766	540.766	540.766				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	13	Central America	4	419	Latin America and the Caribbean	Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2000	2016	17	TONNES_M	Millions of tonnes	G	Global	390.899	394.886	402.88	422.882	433.96	452.663	467.78	477.825	476.212	468.521	483.786	501.982	506.008	497.34	483.733	496.019	500.546	500.546				IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E: Estimated data
