series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	1	World	1			Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2010]	2010	2010	1
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	13	Central America	4	419	Latin America and the Caribbean	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	135	Caucasus and Central Asia	1			Group								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	142	Asia	2	1	World	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	143	Central Asia	3	142	Asia	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	145	Western Asia	3	142	Asia	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	15	Northern Africa	3	2	Africa	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	150	Europe	2	1	World	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	151	Eastern Europe	3	150	Europe	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			[2005, 2010]	2005	2010	2
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	154	Northern Europe	3	150	Europe	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	155	Western Europe	3	150	Europe	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	17	Middle Africa	4	202	Sub-Saharan Africa	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	175	Mayotte	5	14	Eastern Africa	Country	45.14015057	-12.82217691	MYT	0	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	18	Southern Africa	4	202	Sub-Saharan Africa	Region								[2000, 2005, 2010]	2000	2010	3
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			[2005, 2010]	2005	2010	2
AG_LND_FRSTMGT	Proportion of forest area under a long-term management plan (%)	19	Americas	2	1	World	Region								[2000, 2005, 2010]	2000	2010	3
