goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	1	World	1			Region								[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	2794559.960149	2796160.434984	2798064.899726	2800096.899877	2798568.128842	2795580.083976	2792388.485493	2792518.917588	2785712.062755	2786232.024158	2786943.105627	2782134.249703	2776426.165424	2781494.491422	2781494.491422				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	1010.209269	1021.034879	1031.386689	1032.917338	1037.332397	1035.828579	1034.762168	1027.565866	1027.081846	1030.510753	1034.254687	1028.2869	1035.313896	1038.170474	1038.170474				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	5890.727396	6025.119791	6114.107746	6267.174556	6431.449706	6499.940618	6462.442124	6544.106731	6525.810397	6438.749006	6500.217508	6521.230982	6574.1549	6625.175209	6625.175209				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	1954.050809	1953.701374	1952.966158	1952.662611	1952.291694	1951.917941	1951.860486	1952.197086	1952.752125	1953.39224	1954.340109	1955.093526	1955.590638	1955.964411	1955.964411				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	16778.965042	16738.419468	16649.264226	16612.972137	16757.727305	16854.867242	16944.696375	17180.225426	17433.518193	17634.753546	17661.422865	17525.061917	17362.247646	17223.539462	17223.539462				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	1781.427988	1784.33031	1799.57043	1803.588493	1804.432699	1805.39464	1802.122308	1799.244408	1798.413892	1804.464475	1807.53513	1807.453521	1804.983719	1816.051378	1816.051378				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	3607.093897	3542.726614	3530.206622	3534.584991	3542.769526	3578.721754	3613.496107	3625.179926	3640.291885	3597.398451	3595.019287	3444.425536	3415.510853	3446.856422	3446.856422				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	224.942007	237.08655	249.648649	267.940513	276.543064	331.133556	383.175717	408.830497	427.960934	450.095019	416.284966	409.485626	396.25082	386.257603	386.257603				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	1898.897234	1908.092417	1916.188117	1924.362494	1930.554827	1931.562658	1923.567203	1924.596728	1915.923782	1911.67072	1890.888058	1863.986588	1848.236599	1841.68837	1841.68837				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.6	By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes	C060601	6.6.1	Change in the extent of water-related ecosystems over time	2020.Q2.G.03	['water', 'natural resources']	EN_WBE_PMPN	Water body extent (permanent and maybe permanent) (square kilometres)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	KM2	Square kilometers	G	Global	789929.467735	791372.283452	792263.686801	792646.609919	793065.729744	792897.265683	792010.250566	792543.531998	790364.346446	790795.251947	791507.109033	792832.021128	792642.471352	795519.213884	795519.213884				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
