goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	1	World	1			Region								[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		56.18748	56.90204	58.30563	60.74402	63.69871	79.48966	82.64034	84.21584	87.31729	87.6065	92.49621	92.95272	95.44156	95.65711	94.92818	95.36626	96.17159	96.38899	96.38899				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2001, 2002, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18	PT	Percentage	G	Global	95.0	95.0	95.73	99.36		99.7	99.82	99.95	99.96	99.97	99.99	99.99	99.99	99.99	99.99	99.99	99.99	99.99	100.0	100.0			[2005-2018]: Operator with largest population coverage.	[2000-2003,2005-2006]: ITU // [2007-2018]: Communications Regulation Commission		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2006, 2014, 2015, 2016, 2017, 2018]	2006	2018	6	PT	Percentage	G	Global							10.0								73.0	95.0	94.83	90.45	95.15	95.15			[2015]: MPT    - 58.37% Telenor  - 62% Ooredoo - 79.3%	[2006]: ITU // [2014]: MICT. // [2015]: Posts and Telecommunications Department, Ministry of communications and Information Technology // [2016-2018]: Ministry of Transport and Communications		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2006, 2009, 2015, 2016, 2017, 2018]	2006	2018	6	PT	Percentage	G	Global							82.0			83.0						52.5	49.0	50.0	53.65	53.65			[2017-2018]: Agence de RĂŠgulation et de ContrĂ´le des TĂŠlĂŠcommunications	[2006]: ITU // [2009]: Agence de RĂŠgulation et de ContrĂ´le des TĂŠlĂŠcommunications (ARCT) // [2015]: Agence de RĂŠgulation et de ContrĂ´le des TĂŠlĂŠcommunications // [2016-2018]: AGENCE DE REGULATION ET DE CONTROLE DES TELECOMMUNICATIONS		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		9.09333	36.16809	43.4406	50.27607	54.23373	59.92014	60.73178	76.00706	80.68594	80.843	74.95007	82.85005	89.96037	95.13422	91.96055	92.80983	92.93899	94.22254	94.22254				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2002	2018	17	PT	Percentage	G	Global			87.0	87.0	88.0	90.0	92.5	96.6	98.6	99.4	99.7	99.7	99.7	99.9	99.8	99.9	99.9	99.9	99.9	99.9				[2002-2006]: ITU // [2007,2009]: Ministry of Communications and Informatization of the Republic of Belarus // [2008]: RCC. // [2010-2015]: Ministry of Communications and Informatization // [2016-2018]: Ministry of Informatization and communication of the Republic of Belarus		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2001, 2002, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	18	PT	Percentage	G	Global	80.0	85.0	87.0	87.5		75.0	85.0	87.0	87.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0	99.0				[2000-2003,2005-2006,2010-2014]: ITU // [2007-2009]: MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC) // [2015]: Telecommunication Regulator of Cambodia (TRC) // [2016-2018]: Telecommunication Regulator of Cambodia		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	14	PT	Percentage	G	Global	40.0	40.0	40.0	40.0	40.0	41.52	63.6	81.5						98.0	98.0	99.19	98.0	98.0	98.04	98.04			[2014]: Source: ARPT. // [2015]: NOV-2015 . Source: ARPT. // [2016]: source : ARPT.	[2000-2007,2013]: ITU // [2014-2015]: MinistĂ¨re de la Poste et des Technologies de l'Information et de la Communication // [2016-2018]: MinistĂ¨re de la Poste, des TĂŠlĂŠcommunications, des Technologies et du NumĂŠrique		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2014, 2015, 2016, 2017, 2018]	2000	2018	12	PT	Percentage	G	Global	37.0	43.0	43.0	45.0	49.0	54.0	58.0								79.68	81.88	82.82	84.76	95.81	95.81				[2000-2006]: ITU // [2014-2015]: Agence de RĂŠgulation des TĂŠlĂŠcommunications // [2016-2018]: Agence de RĂŠgulation des TĂŠlĂŠcommunications Cameroun		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	16	PT	Percentage	G	Global	90.0				94.0	97.0	98.0	98.0	98.0	99.0	99.0	99.0	99.0	99.0	99.0	99.3	99.4	99.4	99.5	99.5			[2000,2004-2007]: Analog service. // [2008]:  // [2009-2013]: Virtually all inhabitants // [2014]: Virtually all inhabitants Source: Canadian Radio-television and Telecommunications // [2015]: 2014 restated to 99.3  Virtually all inhabitants Source: Canadian Radio-television and Telecommunications // [2018]: Estimate based on 2017 data	[2000,2004-2008]: CWTA. // [2009]: Canadian Radio-television Telecommunications Commission // [2010-2015]: Canadian Radio-television and Telecommunications Commission // [2016-2018]: Canadian Radio-television and Telecommunications Comission		_X: Data nature not available
