series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	All age ranges or no breaks by age	M	Male	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	_T	All age ranges or no breaks by age	F	Female	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y0T17	under 18 years old	M	Male	[2014, 2015, 2016]	2014	2016	3
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y_GE18	18 years old and over	F	Female	[2014, 2015, 2016]	2014	2016	3
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y0T17	under 18 years old	F	Female	[2014, 2015, 2016]	2014	2016	3
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	Y_GE18	18 years old and over	M	Male	[2014, 2015, 2016]	2014	2016	3
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	_T	All age ranges or no breaks by age	M	Male	[2012, 2013, 2014, 2015]	2012	2015	4
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	_T	All age ranges or no breaks by age	F	Female	[2012, 2013, 2014, 2015, 2016]	2012	2016	5
VC_HTF_DETVOP	Detected victims of human trafficking for other purposes, by age and sex (number)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2012, 2013, 2014, 2015, 2016]	2012	2016	5
