series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	[2009, 2012, 2013, 2015, 2016, 2017]	2009	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	[2013, 2014, 2015, 2016, 2017]	2013	2017	5
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	199	Least Developed Countries (LDC)	1			Group						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	202	Sub-Saharan Africa	3	2	Africa	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	11
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	[2008, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	21	Northern America	3	19	Americas	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	212	Dominica	5	29	Caribbean	Country	-61.3493756	15.43391378	DMA	1	1	[2010, 2014, 2015, 2016, 2017]	2010	2017	5
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1	[2015, 2016, 2017]	2015	2017	3
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	[2011, 2012, 2013, 2014, 2015, 2016, 2017]	2011	2017	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1	[2015, 2016, 2017]	2015	2017	3
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	234	Faroe Islands	4	154	Northern Europe	Country	-7.122044325	62.21228119	FRO	0	1	[2015, 2016, 2017]	2015	2017	3
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	[2011, 2012, 2013, 2014, 2015, 2016, 2017]	2011	2017	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	[2013, 2014, 2015, 2016, 2017]	2013	2017	5
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	[2008, 2011, 2014, 2015, 2016, 2017]	2008	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	[2008, 2010, 2011, 2012, 2014, 2015, 2016, 2017]	2008	2017	8
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	254	French Guiana	5	5	South America	Country	-53.23619089	3.922673437	GUF	0	1	[2012, 2013, 2014, 2015, 2016]	2012	2016	5
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	258	French Polynesia	4	61	Polynesia	Country	-149.4052367	-17.67709294	PYF	0	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1	[2009, 2010, 2011, 2014, 2015, 2016, 2017]	2009	2017	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	270	Gambia	5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1	[2009, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016]	2010	2016	7
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	[2008, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	8
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1	[2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017]	2009	2017	8
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	29	Caribbean	4	419	Latin America and the Caribbean	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	292	Gibraltar	4	39	Southern Europe	Country	-5.347561686	36.13895036	GIB	0	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
