series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	sex_code	sex_desc	years	min_year	max_year	n_years
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	16	American Samoa	4	61	Polynesia	Country	-170.7187269	-14.30587306	ASM	0	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	F	Female	[2017]	2017	2017	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	F	Female	[2018]	2018	2018	1
SG_GEN_LOCGELS	Proportion of elected seats held by women in deliberative bodies of local government (%)	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1	F	Female	[2018]	2018	2018	1
