series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	1	World	1			Region						[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	2.14944043289815	2.15075710158284	2.15222462093673	2.15405329241983	2.15290424801078	2.15056798029355	2.1880969775326	2.18829711691241	2.18298159403823	2.18339553180517	2.18396222895816	2.17889358197099	2.17436524137254	2.17833451382042	2.17833451382042				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	0.929868620213549	0.939919800239344	0.949624057637418	0.951033365251818	0.95553831705969	0.954153075718496	0.953170751658069	0.946541880987472	0.946096026160648	0.949254562453942	0.952703285740604	0.947206061164333	0.95367897568165	0.956310311348563	0.956310311348563				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	0.901605148157218	0.922019341515295	0.935565513832782	0.959295672192374	0.984455794581356	0.995000553837675	0.989214915887278	1.00193014330551	0.999235989005941	0.985905096772217	0.995317190543271	0.998534786243645	1.00708572435239	1.01490145513871	1.01490145513871				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	7.60923212227414	7.60787139408099	7.60500840342679	7.60382636682242	7.6023819859813	7.60092656152647	7.6007028271028	7.60201357476635	7.60417494158878	7.6066676012461	7.61035867990654	7.61329254672897	7.61522834112149	7.61668384345794	7.61668384345794				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	11	Western Africa	4	202	Sub-Saharan Africa	Region						[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	0.276695234578813	0.276026613654878	0.274556390042314	0.273957911646652	0.27634501151044	0.277946907550387	0.279428244031226	0.283312259872098	0.287489210083673	0.290807702199516	0.291247495324914	0.288998821202296	0.286313915858352	0.284026534401044	0.284026534401044				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	0.878286243652319	0.879413656973878	0.886924805322819	0.888905122227698	0.889671974657331	0.889795288319369	0.888138735399931	0.886720421861909	0.886319855303881	0.889016999798002	0.890507902334243	0.890423828502177	0.889198344253411	0.894650661608946	0.894650661608946				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	2.04344770960797	2.00698312599138	1.99989044980738	2.0023708310673	2.00700743598459	2.0273746623612	2.047074613075	2.05369359052798	2.06225463686834	2.03795516145479	2.03660734590981	1.95129477452979	1.93491437400861	1.95267189100385	1.95267189100385				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	0.0094444400732238	0.009954342203599	0.0104817758865367	0.0112497801187367	0.0116109677798584	0.0139030102362139	0.0160880581843526	0.0171652026249717	0.0179684152762266	0.0188977394257979	0.0174781867878106	0.0171927089438814	0.0166370309101749	0.016217454592021	0.016217454592021				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	0.401704477163588	0.403649683103805	0.405362297603181	0.407091555922235	0.408401520382475	0.408614723191808	0.40692331514036	0.407141107232764	0.405306378540754	0.404406659474096	0.400010166486852	0.39431926297307	0.390987412790082	0.389602159886611	0.389602159886611				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
EN_WBE_PMPP	Water body extent (permanent and maybe permanent) (% of total land area)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2005	2018	14	PT	Percentage	G	Global	8.81068025344678	8.82677306738318	8.83671556251178	8.84098659339764	8.84566135350824	8.84378234653826	8.83388879667707	8.83983688745525	8.81553078432094	8.82033699898166	8.82827687896725	8.84305462471516	8.84094043283264	8.87302691606464	8.87302691606464				Global Surface Water Explorer extraction for UN Environment		E: Estimated data
