series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	26.9129753112792	26.9129753112792				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	76.5878140926361	76.5878140926361				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	26.378446817398	26.378446817398				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	52.2896111011505	52.2896111011505				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	71.7543482780456	71.7543482780456				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	20.0000002980232	20.0000002980232				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	46.3865548372268	46.3865548372268				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	29.8475950956344	29.8475950956344				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	87.8781497478485	87.8781497478485				OECD and UNDP.		_X: Data nature not available
SG_PLN_RECRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by recipient (%)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	75.0	75.0				OECD and UNDP.		_X: Data nature not available
