series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Disability status	Reporting Type
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	2.5	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	1.81	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	1.98	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	1.81	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	3.25	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	3.31	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	2.5	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	2.5	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2005.0	3.25	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	1.1	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	1.57	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	2.25	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	1.65	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	2.27	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	2.96	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	1.67	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	2.27	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	231	Ethiopia	2013.0	2.94	Float						LFS - National Labor Force Survey		['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	FEMALE	_T	G
