series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.87917	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	MALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.26667	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	MALE	15-24	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.12083	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	MALE	45-64	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.06667	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	FEMALE	65+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.41667	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	FEMALE	45-64	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	3.10417	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	FEMALE	25-44	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.04167	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	MALE	65+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	1.89167	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	FEMALE	15-24	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.45	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	MALE	10+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	1.35417	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	FEMALE	10+	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	0.48611	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	MALE	20-74	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	440	Lithuania	2003.0	1.73611	Float						Statistics Lithuania based on Time Use Survey		['Travel related to unpaid care work is not included.']	C	PERCENT	ALLAREA	FEMALE	20-74	G
