series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Location	Sex	Reporting Type
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	2.51964	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	15+	ALLAREA	FEMALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	0.71458	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	65+	ALLAREA	MALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	1.12829	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	15-24	ALLAREA	FEMALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	5.43018	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	25-44	ALLAREA	FEMALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	1.97829	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	45-54	ALLAREA	FEMALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	1.69604	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	55-64	ALLAREA	FEMALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	0.76899	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	65+	ALLAREA	FEMALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	1.21203	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	15+	ALLAREA	MALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	0.31405	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	15-24	ALLAREA	MALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	2.36262	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	25-44	ALLAREA	MALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	0.98921	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	45-54	ALLAREA	MALE	G
SL_DOM_TSPDCW	Proportion of time spent on unpaid care work, by sex, age and location (%)	250	France	2010.0	0.91282	Float						Institut National de la Statistique et des Etudes Economiques (INSEE) based on Survey on the use of time 2009-2010 / EDT		['']	C	PERCENT	55-64	ALLAREA	MALE	G
