series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	Sampling Stations
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.07683	Float			8.2020	7.8550		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Dunedin Pylon | LATITUDE: -45.78 | LONGITUDE: 170.72']	C	PH	G	DUNEDINPYLON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.07715	Float			8.3180	7.9410		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Chatham Islands | LATITUDE: -43.946 | LONGITUDE: 176.56']	C	PH	G	CHATHAMISLANDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.04517	Float			8.2980	7.8980		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Bay of Plenty | LATITUDE: -37.669 | LONGITUDE: 176.1774']	C	PH	G	BAYOFPLENTY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	7.93810	Float			8.0090	7.8060		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Auckland | LATITUDE: -36.823 | LONGITUDE: 174.724']	C	PH	G	AUCKLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.03011	Float			8.1220	7.9380		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Tasman Bay | LATITUDE: -41.191 | LONGITUDE: 173.349']	C	PH	G	TASMANBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.04744	Float			8.1520	7.9720		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Stewart Island | LATITUDE: -46.925 | LONGITUDE: 168.131']	C	PH	G	STEWARTISLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.04400	Float			8.1470	7.8800		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Westcoast/Jackson Bay | LATITUDE: -43.973 | LONGITUDE: 168.616']	C	PH	G	WESTCOAST-JACKSONBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.06415	Float			8.1340	8.0030		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Marlborough Sounds | LATITUDE: -41.033 | LONGITUDE: 174.017']	C	PH	G	MARLBOROUGHSOUNDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.02504	Float			8.0930	7.9390		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Golden Bay | LATITUDE: -40.63 | LONGITUDE: 172.716']	C	PH	G	GOLDENBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2015.0	8.03817	Float			8.1210	7.9630		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Wellington | LATITUDE: -41.301 | LONGITUDE: 174.808']	C	PH	G	WELLINGTON
