series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Location	Sex	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2000.0	11.52778	Float						National Center for Statistics and Information (NCSI) based on Overall Monitoring of Annual National Indicators Survey		['']	C	PERCENT	15+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2000.0	3.05556	Float						National Center for Statistics and Information (NCSI) based on Overall Monitoring of Annual National Indicators Survey		['']	C	PERCENT	15+	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	9.72222	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	2.15278	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15+	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	9.44444	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15+	URBAN	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	2.29167	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15+	URBAN	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	1.94444	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15+	RURAL	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	7.84722	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15-24	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	1.18056	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15-24	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	512	Oman	2008.0	10.06944	Float						National Center for Statistics and Information (NCSI) based on Time Use Survey		['']	C	PERCENT	15+	RURAL	FEMALE	G
