series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	45.8294278515625	45.8294278515625				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	326.65561875	326.65561875				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	16.38018625	16.38018625				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2017]	2017	2017	1	KM2	Square kilometers	G	Global	160.930871796875	160.930871796875				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	nan	nan			NA = A figure was not provided.	Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	14.98894453125	14.98894453125				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	102.7453805664063	102.7453805664063				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	85.2395026757812	85.2395026757812				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2017]	2017	2017	1	KM2	Square kilometers	G	Global	1532.8383120898438	1532.8383120898438				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
ER_MTN_GRNCOV	Mountain green cover area (square kilometres)	13	Central America	4	419	Latin America and the Caribbean	Region								[2017]	2017	2017	1	KM2	Square kilometers	G	Global	1134.6582502929687	1134.6582502929687				Food and Agriculture Organisation of United Nations ( FAO)		E: Estimated data
