series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2010	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRST	Forest area as a proportion of total land area (%)	1	World	1			Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	31.9321943568648	31.5349083860972	31.3625052498293	31.3374395150195	31.2848621651535	31.2477396239294	31.2087257194287	31.1710014067346	31.1710014067346			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment and FAOSTAT		_X: Data nature not available
AG_LND_FRST	Forest area as a proportion of total land area (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	31.0887988209285	34.4233603537214	35.3076639646279	35.3813559322034	35.5011053795136	35.6208548268239	35.7406042741341	35.8603537214444	35.8603537214444			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	53.3902584675691	48.1426471488945	45.9246034176517	45.4809977338152	45.0373920499786	44.593786366142	44.1501806823054	43.7065749984688	43.7065749984688			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	7.55218068535825	7.55218068535825	10.8894080996885	10.8894080996885	10.8894080996885	10.8894080996885	10.8894080996885	10.8894080996885	10.8894080996885			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	11	Western Africa	4	202	Sub-Saharan Africa	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	15.8283582286455	14.7961365817621	14.3431463409003	14.2608446962926	14.1785519932191	14.0905400012533	14.0025444998895	13.9145341569839	13.9145341569839			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment and FAOSTAT		_X: Data nature not available
AG_LND_FRST	Forest area as a proportion of total land area (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	40.7581117165407	42.5169230162875	42.5341662643242	42.9090837430658	42.9805200563608	43.0519563696558	43.1233926829509	43.1948289962459	43.1948289962459			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	61.0752322682982	59.988839791525	50.117946974847	49.2359506004985	48.35395422615	47.4719578518015	46.589961477453	45.7079651031045	45.7079651031045			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	0.662960692602887	0.805293608874184	0.821248331052088	0.821248331052088	0.815790136622805	0.810331942193522	0.814110692183026	0.818309303282474	0.818309303282474			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	45.6886674705422	44.2141693638806	43.6218400287703	43.5033741617482	43.3849082947262	43.2664424277041	43.147976560682	43.02951069366	43.02951069366			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	38.2472741548643	38.1945156490728	38.1718071459755	38.167444694073	38.1633769578524	38.1593103213171	38.1552425850964	38.1511759485611	38.1511759485611			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	13	Central America	4	419	Latin America and the Caribbean	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	38.4136657056523	36.9653382376329	36.4769050716275	36.3664645410171	36.2559465311732	36.1454285213292	36.0349105114853	35.9243925016413	35.9243925016413			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment and FAOSTAT		_X: Data nature not available
AG_LND_FRST	Forest area as a proportion of total land area (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	9.8560794044665	10.6004962779156	10.9727047146402	11.0471464019851	11.12158808933	11.1960297766749	11.2704714640199	11.3449131513648	11.3449131513648			Official country data submitted to FAO	FAO, Global Forest Resources Assessment and FAOSTAT		C: Country data
AG_LND_FRST	Forest area as a proportion of total land area (%)	135	Caucasus and Central Asia	1			Group								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	3.87623109494494	3.99000110563354	4.11282848092526	4.13230176587211	4.14910783896618	4.16972063026957	4.19057518028037	4.21143122801062	4.21143122801062			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment and FAOSTAT		_X: Data nature not available
AG_LND_FRST	Forest area as a proportion of total land area (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	PT	Percentage	G	Global	53.875	53.0	53.0	53.0	53.0	53.375	53.0	53.0	53.0			FAO Estimate	FAO, Global Forest Resources Assessment and FAOSTAT		E: Estimated data
