series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2005, 2006, 2007, 2010, 2012, 2014, 2015, 2016, 2017, 2018, 2019]	2005	2019	11	USD	USD	G	Global	115653.0	503511.0	15684032.0			33850.0		3045.0		2467836.0	1697938.0	2754831.0	2099227.0	491564.0	16492575.0	16492575.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1			[2008, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	8	USD	USD	G	Global				358444127.0			57382203.0	3599172.0	1262781.0	2061550.0	2544590284.0	1930859726.0	541986015.0			541986015.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			[2015, 2016, 2017]	2015	2017	3	USD	USD	G	Global											5597176.0	17312058.0	4941386.0			4941386.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1			[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2005	2019	15	USD	USD	G	Global	2017682.0	8710397.0	19439205.0	25087515.0	84247995.0	36805477.0	257540131.0	49021911.0	249146642.0	27366356.0	32286555.0	19149727.0	12081651.0	716.0	77790612.0	77790612.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2006, 2007, 2009, 2016, 2017, 2019]	2006	2019	6	USD	USD	G	Global		62387.0	6277648.0		11536731.0							558997.0	3229195.0		27106853.0	27106853.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2014]	2014	2014	1	USD	USD	G	Global										43480.0						43480.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			[2017]	2017	2017	1	USD	USD	G	Global													28881640.0			28881640.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			[2011, 2012, 2014, 2015, 2016, 2017, 2018]	2011	2018	7	USD	USD	G	Global							83296918.0	1242747631.0		7511734.0	34567506557.0	49239381985.0	53539911.0	13125381634.0		13125381634.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			[2005, 2008, 2009, 2010, 2014, 2015, 2016, 2017, 2018, 2019]	2005	2019	10	USD	USD	G	Global	19831533.0			28653700.0	17507101.0	6656269.0				14429821.0	13446239.0	48537202.0	11031628.0	162920.0	6752182.0	6752182.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
VC_DSR_AGLN	Direct agriculture loss attributed to disasters (current United States dollars)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			[2017]	2017	2017	1	USD	USD	G	Global													47364.0			47364.0			Disclaimer: the data being submitted by UNDRR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).	United Nations Office for Disaster Risk Reduction (2020)		_X: Data nature not available
