series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2010	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRSTN	Forest area (thousands of hectares)	17	Middle Africa	4	202	Sub-Saharan Africa	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	321030.04	306675.0	297158.51	295262.2	293368.92	291474.62	289583.31	287696.02	287696.02			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTN	Forest area (thousands of hectares)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	62735.5	60807.79	60134.66	59959.49	59739.77	59540.48	59341.2	59141.91	59141.91			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	41.68	37.3	35.11	34.67	34.23	33.8	33.36	32.92	32.92			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	175	Mayotte	5	14	Eastern Africa	Country	45.14015057	-12.82217691	MYT	0	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	15.67	14.41	14.14	14.0864	14.04	13.99	13.94	13.89	13.89			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	22195.0	22075.0	22015.0	22003.0	21991.0	21976.0	21961.0	21946.0	21946.0			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	18	Southern Africa	4	202	Sub-Saharan Africa	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	43965.674	41720.73	40598.26	40373.77	40149.27	39924.77	39700.27	39475.77	39475.77			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTN	Forest area (thousands of hectares)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	143899.0	137169.0	131662.12	130560.74	129459.37	128357.99	127256.61	126155.24	126155.24			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	184	Cook Islands	4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	15.57	15.59	15.59	15.59	15.59	15.59	15.59	15.59	15.59			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	2857.22	2871.2	2953.03	2969.4	2985.77	3002.13	3018.5	3034.87	3034.87			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	19	Americas	2	1	World	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	1674994.03	1624344.25	1611037.25	1608023.35	1604222.08858	1601863.13	1599319.34	1596895.79	1596895.79			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
