goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",1,World,1,,,Region,,,,,,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2010,2019,10,KG,Kilograms,G,Global,0.834079,0.852907,0.841496,1.079776,1.081642,1.144538,1.245713,1.250135,1.262242,1.274325,1.274325,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2010,2019,10,KG,Kilograms,G,Global,6.06813915831235,5.48094692634914,5.24010953357421,4.8232587462545,5.83936730020558,8.60961765419552,8.59639919082185,7.67242073582475,7.92784084088598,8.17499732975891,8.17499732975891,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,"[2014, 2015, 2016, 2017, 2018, 2019]",2014,2019,6,KG,Kilograms,G,Global,,,,,0.264002132373849,0.591224406701086,0.480645140116527,0.656068480004672,0.685674146995302,0.714098400524141,0.714098400524141,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,"[2018, 2019]",2018,2019,2,KG,Kilograms,G,Global,,,,,,,,,0.0019828474967006,0.0020793034978183,0.0020793034978183,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2010,2019,10,KG,Kilograms,G,Global,1.49644633529663,2.50335450362481,2.01591940629111,2.65124273133325,2.3384704350884,2.75593058675312,2.78702035695738,2.81370947776972,2.83837164583324,2.85936601424959,2.85936601424959,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,"[2015, 2016, 2017, 2018, 2019]",2015,2019,5,KG,Kilograms,G,Global,,,,,,3.88763959294126,4.0208120175471596,4.12902634237459,4.20498663022929,4.28009207071368,4.28009207071368,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,"[2017, 2018, 2019]",2017,2019,3,KG,Kilograms,G,Global,,,,,,,,0.297773171016275,0.304508720089298,0.31094577827658,0.31094577827658,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",2013,2019,7,KG,Kilograms,G,Global,,,,0.926801814176473,0.861693899078206,0.922013390202614,0.998550720315629,1.04150408266011,1.08290014659911,1.13909525259267,1.13909525259267,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2012,2019,8,KG,Kilograms,G,Global,,,0.0087629591298202,0.032828878765279,0.0580077851790334,0.060053584980194,0.0615837212243151,0.0628106359120671,0.0638659279617413,0.0648415025172209,0.0648415025172209,,,,Environment Live / UNU,,E: Estimated data
12,Goal 12,Ensure sustainable consumption and production patterns,12.4,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment",C120402,12.4.2,III,"UNSD, UNEP","Hazardous waste generated per capita and proportion of hazardous waste treated, by type of treatment",2020.Q1.G.01,"['electronic waste,recycling']",EN_EWT_RCYPCAP,"Electronic waste recycling, per capita (Kg)",191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",2011,2019,9,KG,Kilograms,G,Global,,4.06158172153751,3.76803855052377,3.51331071252279,3.63950992570117,5.61273498809555,9.22275781724659,8.7103353290235,8.94674636819733,9.18872549977616,9.18872549977616,,,,Environment Live / UNU,,E: Estimated data
