goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,2756.97,2756.97,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),20,Andorra,4,39,Southern Europe,Country,1.576257417,42.54548611,AND,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,1.6611,1.6611,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),204,Benin,5,11,Western Africa,Country,2.339933594,9.65401646,BEN,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,323.0,323.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),233,Estonia,4,154,Northern Europe,Country,25.84093481,58.68487172,EST,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,1958.3768,1958.3768,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),246,Finland,4,154,Northern Europe,Country,23.308447,61.91586738,FIN,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,28826.0,28826.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),388,Jamaica,5,29,Caribbean,Country,-77.31068409,18.15616857,JAM,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,164.78757,164.78757,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),40,Austria,4,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,1034.0,1034.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),404,Kenya,5,14,Eastern Africa,Country,37.86096816,0.534797278,KEN,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,75729.56,75729.56,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),422,Lebanon,4,145,Western Asia,Country,35.89391711,33.92152458,LBN,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,7.0,7.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_NDOPW,Nationally derived extent of open water bodies (square kilometres),428,Latvia,4,154,Northern Europe,Country,26.42461876,56.64196636,LVA,1,1,[2017],2017,2017,1,KM2,Square kilometers,G,Global,95.6,95.6,,,,Environment Live,,C: Country data
