goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2005	value_2010	value_2015	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		3.9			3.9				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		4.8			4.8				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				16.9	16.9				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		15.6			15.6				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1	[2000]	2000	2000	1	USD_PER_M3	United States dollars per cubic metre	G	Global	20.4				20.4				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1	[2000]	2000	2000	1	USD_PER_M3	United States dollars per cubic metre	G	Global	97.9				97.9				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		23.8			23.8				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				17.0	17.0				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				58.4	58.4				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				11.5	11.5				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				55.5	55.5				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				79.4	79.4				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	[2000]	2000	2000	1	USD_PER_M3	United States dollars per cubic metre	G	Global	24.8				24.8				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	[2010]	2010	2010	1	USD_PER_M3	United States dollars per cubic metre	G	Global			377.6		377.6				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	[2010]	2010	2010	1	USD_PER_M3	United States dollars per cubic metre	G	Global			7.2		7.2				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		6.7			6.7				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		9.2			9.2				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	226	Equatorial Guinea	5	17	Middle Africa	Country	10.46535826	1.565792376	GNQ	1	1	[2000]	2000	2000	1	USD_PER_M3	United States dollars per cubic metre	G	Global	337.8				337.8				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		2.0			2.0				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		4.7			4.7				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	[2015]	2015	2015	1	USD_PER_M3	United States dollars per cubic metre	G	Global				10.8	10.8				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		108.7			108.7				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		31.0			31.0				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		31.9			31.9				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		65.9			65.9				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		70.1			70.1				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		4.7			4.7				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	270	Gambia	5	11	Western Africa	Country	-15.39944785	13.45295927	GMB	1	1	[2000]	2000	2000	1	USD_PER_M3	United States dollars per cubic metre	G	Global	4.7				4.7				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	275	State of Palestine	4	145	Western Asia	Country	35.25694122	31.94347933	PSE	0	1	[2005]	2005	2005	1	USD_PER_M3	United States dollars per cubic metre	G	Global		15.7			15.7				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	[2010]	2010	2010	1	USD_PER_M3	United States dollars per cubic metre	G	Global			115.1		115.1				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
6	Goal 6	Ensure availability and sustainable management of water and sanitation for all	6.4	By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering from water scarcity	C060401	6.4.1	II	FAO	Change in water-use efficiency over time	2020.Q1.G.01	['water', 'natural resources', 'water consumption']	ER_H2O_WUEYST	Water Use Efficiency (United States dollars per cubic meter)	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1	[2010]	2010	2010	1	USD_PER_M3	United States dollars per cubic metre	G	Global			91.2		91.2				Food and Agriculture Organisation of United Nations (FAO)		_X: Data nature not available
