goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),1,World,1,,,Region,,,,,,[2018],2018,2018,1,PT,Percentage,G,Global,49.0,49.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,60.0,60.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,27.0,27.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,32.0,32.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,38.0,38.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,46.0,46.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,48.0,48.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),120,Cameroon,5,17,Middle Africa,Country,12.7419827,5.692387031,CMR,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,34.0,34.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),132,Cabo Verde,5,11,Western Africa,Country,-23.63544151,15.07791834,CPV,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,64.0,64.0,,,,"Environment Live, UNEP",,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2020.Q1.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),140,Central African Republic,5,17,Middle Africa,Country,20.93559492,7.003720791,CAF,1,1,[2018],2018,2018,1,PT,Percentage,G,Global,31.0,31.0,,,,"Environment Live, UNEP",,C: Country data
