series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfProduct_code	typeOfProduct_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.08135						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2000				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.07939						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2001				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.07007						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2002				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.09387						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2003				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.10892						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2004				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.11525						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2005				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.11784						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2006				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.12071						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2007				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.11837						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2008				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.14305						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2009				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.16359						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2010				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.18731						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2011				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.1758						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2012				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.18165						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2013				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.16771						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2014				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.16065						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2015				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.16262						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2016				1			Region					
EN_MAT_FTPRPG	Material footprint per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollar)	1	World	1.15658						Environment Live / Global Material Flows Database			E	Estimated data	KG_PER_CON_USD	Kilograms per constant USD	_T	Total or no breakdown	G	Global	2017				1			Region					
