series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	educationLevel_code	educationLevel_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	60.0048046298905						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2015				1			Region					
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	59.3307805426246						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				1			Region					
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	61.1407390010144						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				1			Region					
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	61.695836611819						UIS			E	Estimated data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				1			Region					
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	1	World	61.3292759030604						UIS			E	Estimated data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				1			Region					
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	11.57726						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	0.18915						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	0.77214						UIS			C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	1.39691						UIS			C	Country data	PT	Percentage	ISCED11_2	Lower secondary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	0.23017						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	104	Myanmar	13.05195						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	108	Burundi	6.84932						UIS			C	Country data	PT	Percentage	ISCED11_3	Upper secondary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
SE_ACC_INTN	Schools with access to the internet for pedagogical purposes, by education level (%)	108	Burundi	0.0						UIS			C	Country data	PT	Percentage	ISCED11_1	Primary	G	Global	2016				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
