series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfSkill_code	typeOfSkill_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	0.87771						International Telecommunication Union (ITU)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	1.20207						International Telecommunication Union (ITU)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	0.95909						International Telecommunication Union (ITU)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	196	Cyprus	0.38095						International Telecommunication Union (ITU)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.85593						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.92568						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.18519						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.56022						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.82332						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.90049						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	203	Czechia	0.96798						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.8647						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.9446						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.9349						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.45833						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.89495						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.88177						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	208	Denmark	0.94833						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	0.85689						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	1.07385						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	1.02559						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	0.93261						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	0.72084						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	0.9669						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	233	Estonia	0.41						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	246	Finland	0.44882						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	246	Finland	0.82546						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	246	Finland	1.05341						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.94069						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.95462						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.99625						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.78287						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.98023						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.32895						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	250	France	0.93525						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.80057						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.83138						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.72706						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.88012						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.87758						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.28409						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	276	Germany	0.81885						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	0.94627						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	0.90192						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	0.75099						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	0.90421						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	0.86713						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	0.53448						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	300	Greece	1.0						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.93561						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.87009						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.18644						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.8524						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.92246						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.86131						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPST	Creating electronic presentations with presentation software	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	348	Hungary	0.64066						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSFWR	Finding, downloading, installing and configuring software	G	Global	2016				4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	352	Iceland	1.05641						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCPT	Using copy and paste tools to duplicate or move information within a document	G	Global	2014				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	352	Iceland	0.88718						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTTRFF	Transferring files between a computer and other devices	G	Global	2014				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	352	Iceland	0.91963						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCMFL	Copying or moving a file or folder	G	Global	2014				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	352	Iceland	1.0						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTSSHT	Using basic arithmetic formula in a spreadsheet	G	Global	2014				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	352	Iceland	0.67427						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTCDV	Connecting and installing new devices	G	Global	2014				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
SE_GPI_ICTS	Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)	352	Iceland	0.50826						Community survey on ICT usage in households and by individuals (Eurostat)			C	Country data	RO	Ratio	SKILL_ICTPRGM	Writing a computer program using a specialized programming language	G	Global	2014				4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1
