series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	modeOfTransportation_code	modeOfTransportation_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	222995816489.325						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	4303975146148.59						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	17275052081105.5						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	36985778829990.8						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	1	World	230967364316.545						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				1			Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	1718960.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	27481000000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	1375210.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	4858000000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	100	Bulgaria	3824000000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	4833935.5007						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	12757243285.044						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	4742159.83169						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	3991448685.26						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	104	Myanmar	4913668176.82167						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	Burundi	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	Burundi	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	108	Burundi	621980264.38685						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	36313253.64855						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	112880268757.473						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	14623007399.703						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	36261095.81812						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	11	Western Africa	9074324292.63886						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	1915100.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
