series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1	2016	1.979					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	188	Costa Rica	5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1	2016	7.48					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	19	Americas	2	1	World	Region						2016	7003.386					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1	2016	15.858					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1	2016	23.278					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1	2016	6.269					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	199	Least Developed Countries (LDC)	1			Group						2016	269.03					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	2	Africa	2	1	World	Region						2016	1157.609					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	202	Sub-Saharan Africa	3	2	Africa	Region						2016	682.54					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	2016	101.399					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1	2016	5.695					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	2016	33.456					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	21	Northern America	3	19	Americas	Region						2016	5373.847					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	2016	22.37					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	2016	35.018					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	2016	6.759					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1	2016	10.929					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	232	Eritrea	5	14	Eastern Africa	Country	38.11074289	16.12894644	ERI	1	1	2016	0.631					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	2016	16.37					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	2016	19.552					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	2016	45.522					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	2016	292.922					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	2016	3.351					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	2016	8.81					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	2016	731.623					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	288	Ghana	5	11	Western Africa	Country	-1.205623522	7.964825185	GHA	1	1	2016	12.776					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	29	Caribbean	4	419	Latin America and the Caribbean	Region						2016	81.383					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	292	Gibraltar	4	39	Southern Europe	Country	-5.347561686	36.13895036	GIB	0	1	2016	0.646					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	30	Eastern Asia	3	142	Asia	Region						2016	10881.219					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	2016	63.077					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	2016	31.409					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1	2016	190.581					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1	2016	16.252					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	332	Haiti	5	29	Caribbean	Country	-72.33640958	18.40426539	HTI	1	1	2016	3.25					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	34	Southern Asia	3	142	Asia	Region						2016	2896.322					IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		E	Estimated data	TONNES_M	Millions of tonnes	G	Global			
