series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	modeOfTransportation_code	modeOfTransportation_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	1	World	1			Region						MOT_RAI	Rail transport	2017	5.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	5,567,451,577,493		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	1	World	1			Region						MOT_ROA	Road transport	2017	22.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	22,908,332,756,875		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	1	World	1			Region						MOT_AIR	Air transport	2017	7.0					ICAO		C	Country data	P_KM	Passenger kilometres	G	Global	7,699,420,216,746		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_RAI	Rail transport	2017	250.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	250,962,897		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	MOT_ROA	Road transport	2017	66.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	66,300,098,653		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	MOT_ROA	Road transport	2017	51.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	51,442,901,908		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	MOT_RAI	Rail transport	2017	27.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	27,094,823,072		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	MOT_RAI	Rail transport	2017	92.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	MOT_ROA	Road transport	2017	3.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	3,317,300,863		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region						MOT_ROA	Road transport	2017	363.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	363,913,231,601		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region						MOT_AIR	Air transport	2017	4.0					ICAO		C	Country data	P_KM	Passenger kilometres	G	Global	4,986,942,556		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	11	Western Africa	4	202	Sub-Saharan Africa	Region						MOT_RAI	Rail transport	2017	56.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	56,786,695		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	MOT_RAI	Rail transport	2017	687.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	687,279,583		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	MOT_ROA	Road transport	2017	46.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	46,604,337,766		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	MOT_RAI	Rail transport	2017	21.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	21,769,722,100		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	MOT_ROA	Road transport	2017	14.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	14,900,708,065		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	MOT_ROA	Road transport	2017	154.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	154,074,010,149		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	MOT_RAI	Rail transport	2017	861.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	861,739,881		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	MOT_ROA	Road transport	2017	31.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	31,319,944,992		
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	MOT_RAI	Rail transport	2017	158.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	G	Global	158,281		
