series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Reporting Type
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2000.0	110.11307	Float					Evaluacion antropometrica nutricional de los menores de cinco años, para comparacion internacional. Venezuela 2000. Caracas: Instituto Nacional de Nutrition, 2001(and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2001.0	124.97861	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2002.0	136.99891	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2003.0	148.96336	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2004.0	149.48716	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2005.0	138.55152	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2006.0	139.50283	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2007.0	146.05105	Float					Sistema de vigilancia alimentaria y nutricional Venezuela 2007. Caracas, Venezuela: Instituto Nacional de Nutrición, 2009 (y análisis adicional).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2008.0	131.94918	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	862	Venezuela (Bolivarian Republic of)	2009.0	120.58859	Float					Ficha técnica: Evaluación antropométrica nutricional en menores de 5 años según criterios internacionales. Caracas, Venezuela: Gobierno Bolivariano de Venezuela, Ministerio del Poder Popular para la Salud, INN, 2012 (and additional analysis).	['Converted estimates']	CA	NUM_U5_M	<5Y	G
