series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Location	Sex	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	8.63792	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	15-24	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	7.12583	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	25-44	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	12.64708	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	25-44	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	7.29792	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	15+	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	13.69375	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	45-54	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	12.51958	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	15+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	4.5275	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	15-24	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	7.50583	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	45-54	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	8.47875	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	55-64	ALLAREA	MALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	14.19167	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	55-64	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	12.0475	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	65+	ALLAREA	FEMALE	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	620	Portugal	2015.0	8.08417	Float					Statistics Portugal based on National Survey on Time Use by Men and Women	['']	C	PERCENT	65+	ALLAREA	MALE	G
