series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Education level	Reporting Type
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2014.0	99.41005	Float					UIS	['']	E	PERCENT	PRIMAR	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2014.0	99.26758	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2014.0	99.57789	Float					UIS	['']	E	PERCENT	LOWSEC	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2015.0	99.56162	Float					UIS	['']	E	PERCENT	LOWSEC	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2015.0	99.27129	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2015.0	99.3963	Float					UIS	['']	E	PERCENT	PRIMAR	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2016.0	99.38212	Float					UIS	['']	E	PERCENT	PRIMAR	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2016.0	99.27151	Float					UIS	['']	E	PERCENT	UPPSEC	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2016.0	99.54568	Float					UIS	['']	E	PERCENT	LOWSEC	G
SE_ACC_SANI	Schools with access to access to single-sex basic sanitation, by education level (%)	514	Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)	2017.0	99.25493	Float					UIS	['']	E	PERCENT	UPPSEC	G
