series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Migratory status	Reporting Type
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2000.0	0.9	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2000.0	1.6	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	MALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2001.0	1.6	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	MALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2001.0	0.8	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2001.0	0	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2002.0	0.74	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2002.0	0.05	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2002.0	1.4	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	MALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2003.0	1.3	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	MALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2003.0	0.1	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2003.0	0.7	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2004.0	0.7	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	BOTHSEX	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2004.0	0.1	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	FEMALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2004.0	1.3	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	MALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2005.0	1.2	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	MALE	_T	G
SL_EMP_FTLINJUR	Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)	826	United Kingdom of Great Britain and Northern Ireland	2005.0	0.1	Float					ILOSTAT - ADM-IR - Labour inspectorate records	['Coverage of occupational injuries: Reported injuries']	C	PER_100000_EMP	FEMALE	_T	G
