series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2014.0	52.99	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	FEMALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2014.0	54.92	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	MALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2014.0	53.94	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	BOTHSEX
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2015.0	54.41	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	FEMALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2015.0	56.50	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	MALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2015.0	55.43	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	BOTHSEX
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2016.0	56.12	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	BOTHSEX
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2016.0	56.95	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	MALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2016.0	55.31	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	FEMALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2017.0	59.08	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	MALE
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2017.0	58.51	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	BOTHSEX
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	218	Ecuador	2017.0	57.96	Float					ITU World Telecommunication/ICT Indicators database.	['']	C	PERCENT	FEMALE
