series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Cities	Reporting Type
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	47	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_SANJUANDELURIGANCHO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	89	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_CHORRILLOS	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	89	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_ATE	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	75	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	CALLAO_CALLAOCERCADO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	63	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_SANBORJA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	78	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_CARABAYLLO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	80	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_VILLAMARIADELTRIUNFO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	66	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	JUNIN_ELTAMBO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	65	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_LURIGANCHO	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	87	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_LOSOLIVOS	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	73	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_PUENTEPIEDRA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	77	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	PIURA_CASTILLA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	70	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	UCAYALI_CALLERIA	G
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	604	Peru	2001.0	90	Float					United Nations Human Settlements Programme (UN-Habitat)	['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	LIMA_COMAS	G
