series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	10.35833	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	MALE	45-64	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	7.425	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	MALE	25-44	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	21.5875	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	FEMALE	65+	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	16.7375	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	FEMALE	10+	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	8.33333	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	MALE	10+	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	10.3125	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	FEMALE	15-24	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	4.22917	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	MALE	15-24	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	18.68042	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	FEMALE	20-74	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	8.95708	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	MALE	20-74	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	18.04583	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	FEMALE	25-44	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	18.67917	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	FEMALE	45-64	G
SL_DOM_TSPD	Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)	440	Lithuania	2003.0	15.5625	Float					Statistics Lithuania based on Time Use Survey	['Travel related to unpaid domestic and care work is not included.']	C	PERCENT	ALLAREA	MALE	65+	G
