series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Type of speed
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2001.0	43865	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2002.0	231663	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2003.0	633100	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2004.0	980000	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2005.0	1229626	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2006.0	1421000	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2007.0	1528500	Float					World broadband statistics.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2008.0	1684000	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2009.0	1723000	Float					ITU estimate.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2010.0	1762000	Float					ITU estimate.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2011.0	789192	Float					Ministry of Communications.	['']	NA	NUMBER	10MBPS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2011.0	789192	Float					Ministry of Communications.	['']	NA	NUMBER	256KT2MBPS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2011.0	300645	Float					Ministry of Communications.	['']	NA	NUMBER	2MT10MBPS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2011.0	1879029	Float					Ministry of Communications.	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2012.0	1937000	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2013.0	2003000	Float					Ministry of Communications	['']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2014.0	2131000	Float					Ministry of Communications	['Incl. DSL and cable.']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2015.0	2173000	Float					Ministry of Communications	['Dec. 2015 - Inc. DSL and cable.']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2016.0	0	Float					Ministry of Communications	['The minimum advertised downstream speed in Israel is 5 Mbit/s']	NA	NUMBER	256KT2MBPS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2016.0	2258000	Float					Ministry of Communications	['Dec. 2016 - Inc. DSL and cable.']	NA	NUMBER	ANYS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2017.0	0	Float					Ministry of Communications	['The minimum advertised downstream speed in Israel is 5 Mbit/s']	NA	NUMBER	256KT2MBPS
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	376	Israel	2017.0	2342000	Float					Ministry of Communications	['Dec. 2017 - Inc. DSL and cable.']	NA	NUMBER	ANYS
