series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.56583	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	MALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.56125	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	MALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	11.60083	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	FEMALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.37167	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	MALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	10.86292	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	URBAN	FEMALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.31208	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	URBAN	MALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	6.9025	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	URBAN	FEMALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.09167	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	URBAN	MALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	10.015	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	URBAN	FEMALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	7.1725	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	FEMALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.02833	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	MALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	7.25875	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	FEMALE	15-24	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	2.86	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	MALE	15-24	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	10.52292	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	FEMALE	15+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.48042	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	MALE	15+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	12.22042	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	FEMALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	3.68875	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	MALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	10.7175	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	ALLAREA	FEMALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	242	Fiji	2016.0	12.06958	Float					Fiji Bureau of Statistics based on Employment and Unemployment Survey 2015-16	['']	C	PERCENT	RURAL	FEMALE	45-54	G
