series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2008.0	1.64765	Float					World Development Indicators database, World Bank	['Encuesta Continua de Hogares']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2008.0	1.97089	Float					World Development Indicators database, World Bank	['Encuesta Continua de Hogares']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2009.0	3.18773	Float					Instituto Nacional de Estadistica - Gobierno de Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2009.0	2.09583	Float					Instituto Nacional de Estadistica - Gobierno de Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2010.0	1.94634	Float					Instituto Nacional de Estadistica - Gobierno de Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2010.0	2.34627	Float					Instituto Nacional de Estadistica - Gobierno de Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2011.0	2.94722	Float					Instituto Nacional de Estadistica - Republica Oriental del Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	Q1
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2011.0	2.08135	Float					Instituto Nacional de Estadistica - Republica Oriental del Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2012.0	2.30536	Float					Instituto Nacional de Estadistica - Republica Oriental del Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	_T
SI_COV_LMKT	[World Bank] Proportion of population covered by labour market programs (%)	858	Uruguay	2012.0	2.87646	Float					Instituto Nacional de Estadistica - Republica Oriental del Uruguay	['Encuesta Continua de Hogares']	CA	PERCENT	G	Q1
