series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	modeOfTransportation_code	modeOfTransportation_desc	years	min_year	max_year	n_years
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	1	World	1			Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	143	Central Asia	3	142	Asia	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	145	Western Asia	3	142	Asia	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	15	Northern Africa	3	2	Africa	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	150	Europe	2	1	World	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	199	Least Developed Countries (LDC)	1			Group								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	202	Sub-Saharan Africa	3	2	Africa	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	21	Northern America	3	19	Americas	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	30	Eastern Asia	3	142	Asia	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	34	Southern Asia	3	142	Asia	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	35	South-Eastern Asia	3	142	Asia	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	419	Latin America and the Caribbean	3	19	Americas	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	513	Europe and Northern America	2	1	World	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	53	Australia and New Zealand	3	9	Oceania	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	543	Oceania (exc. Australia and New Zealand)	3	9	Oceania	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	62	Central and Southern Asia	2	1	World	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	722	Small island developing States (SIDS)	1			Group								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	747	Northern Africa and Western Asia	2	1	World	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	753	Eastern and South-Eastern Asia	2	1	World	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
IS_RDP_LULFRG	Freight loaded and unloaded, maritime transport (metric tons)	9	Oceania	2	1	World	Region								MOT_SEA	Maritime	[2016, 2017, 2018]	2016	2018	3
